行	種別	語根	基礎表記	グループ順位	グループ件数	F	識別子	上付き識別子	識別子付き表記	判定根拠
1094	content	ju	越	2	2	3	j	ᴶ	越ᴶ	頭文字唯一
1095	content	ĵurnal	记	3	4	10	ĵ	ᴶ̂	记ᴶ̂	頭文字唯一
1096	content	kas	库	1	3	18			库	基本形
1097	content	kontrol	检	1	2	33			检	基本形
1098	content	kritik	评	2	4	21	k	ᴷ	评ᴷ	同頭文字初出/頭文字単独
1099	content	literatur	文	2	4	17	l	ᴸ	文ᴸ	頭文字唯一
1100	content	map	图	1	2	14			图	基本形
1101	content	metod	法	2	3	17	m	ᴹ	法ᴹ	頭文字唯一
1102	content	modern	现	5	6	10	m	ᴹ	现ᴹ	頭文字唯一
1103	content	modest	谦	2	2	8	m	ᴹ	谦ᴹ	頭文字唯一
1104	content	motor	动	2	6	35	mt	ᴹᵀ	动ᴹᵀ	子音位置1
1105	content	normal	正	3	3	14	n	ᴺ	正ᴺ	頭文字唯一
1106	content	ofer	献	1	2	24			献	基本形
1107	content	oficial	官	1	2	11			官	基本形
1108	content	original	原	2	3	9	o	ᴼ	原ᴼ	頭文字唯一
1109	content	park	园	2	2	19	p	ᴾ	园ᴾ	頭文字唯一
1110	content	pejzaĝ	景	1	2	4			景	基本形
1111	content	penetr	穿	2	2	20	p	ᴾ	穿ᴾ	頭文字唯一
1112	content	perfekt	完	1	1	16			完	単独
1113	content	poem	诗	2	3	7	pm	ᴾᴹ	诗ᴾᴹ	子音位置1
1114	content	problem	问	2	3	20	p	ᴾ	问ᴾ	頭文字唯一
1115	content	profesi	职	2	2	13	p	ᴾ	职ᴾ	頭文字唯一
1116	content	profit	利	1	3	33			利	基本形
1117	content	rab	抢	1	1	28			抢	単独
1118	content	raport	报	2	5	19	r	ᴿ	报ᴿ	頭文字唯一
1119	content	reciprok	互	1	1	11			互	単独
1120	content	rev	幻	1	3	20			幻	基本形
1121	content	revu	阅	1	1	4			阅	単独
1122	content	salon	厅	1	2	12			厅	基本形
1123	content	sistem	系	1	1	58			系	単独
1124	content	ŝov	推	2	3	46	ŝ	ˢ̂	推ˢ̂	頭文字唯一
1125	content	sovaĝ	野	1	1	26			野	単独
1126	content	sport	体	2	3	19	s	ˢ	体ˢ	頭文字唯一
1127	content	student	学	2	4	15	s	ˢ	学ˢ	頭文字唯一
1128	content	ŝut	撒	1	1	30			撒	単独
1129	content	teatr	剧	1	4	21			剧	基本形
1130	content	temperatur	温	1	1	12			温	単独
1131	content	tip	型	1	1	42			型	単独
1132	content	ton	调	1	3	33			调	基本形
1133	content	tord	拧	1	1	30			拧	単独
1134	content	trakt	理	2	5	17	t	ᵀ	理ᵀ	頭文字唯一
1135	content	tren	拖	1	2	16			拖	基本形
1136	content	var	货	1	1	18			货	単独
1137	content	vari	变	2	2	24	v	ⱽ	变ⱽ	頭文字唯一
1138	content	azen	驴	1	1	9			驴	単独
1139	content	gren	谷	1	2	15			谷	基本形
1140	content	korb	篮	1	1	23			篮	単独
1141	content	abi	杉	1	1	5			杉	単独
1142	content	acid	酸	1	1	63			酸	単独
1143	content	agl	雕	1	2	21			雕	基本形
1144	content	agord	调	2	3	13	a	ᴬ	调ᴬ	頭文字唯一
1145	content	bot	靴	1	1	13			靴	単独
1146	content	burĝ	资	2	2	8	b	ᴮ	资ᴮ	頭文字唯一
1147	content	domaĝ	惜	1	1	5			惜	単独
1148	content	fojn	草	3	4	10	f	ᶠ	草ᶠ	頭文字唯一
1149	content	fotograf	照	2	2	0	f	ᶠ	照ᶠ	頭文字唯一
1150	content	glu	胶	1	4	32			胶	基本形
1151	content	kling	刃	1	1	4			刃	単独
1152	content	mason	砌	1	1	8			砌	単独
1153	content	pajl	草	2	4	18	p	ᴾ	草ᴾ	頭文字唯一
1154	content	pip	斗	1	1	6			斗	単独
1155	content	solid	固	1	1	19			固	単独
1156	content	telegraf	报	4	5	0	t	ᵀ	报ᵀ	同頭文字初出/頭文字単独
1157	content	absolut	绝	1	1	15			绝	単独
1158	content	aktiv	活	2	3	40	a	ᴬ	活ᴬ	頭文字唯一
1159	content	aktor	演	1	1	8			演	単独
1160	content	aŭtor	作	2	2	10	a	ᴬ	作ᴬ	頭文字唯一
1161	content	bend	带	2	4	35	b	ᴮ	带ᴮ	頭文字唯一
1162	content	blok	块	1	1	28			块	単独
1163	content	dec	宜	1	1	8			宜	単独
1164	content	dispon	处	2	2	6	d	ᴰ	处ᴰ	頭文字唯一
1165	content	dokument	档	2	2	14	dk	ᴰᴷ	档ᴰᴷ	子音位置1
1166	content	element	素	1	2	20			素	基本形
1167	content	familiar	熟	2	2	8	f	ᶠ	熟ᶠ	頭文字唯一
1168	content	fantazi	幻	3	3	9	f	ᶠ	幻ᶠ	頭文字唯一
1169	content	fraz	句	1	2	26			句	基本形
1170	content	fuŝ	拙	1	1	18			拙	単独
1171	content	gum	胶	2	4	19	gm	ᴳᴹ	胶ᴳᴹ	子音位置1
1172	content	klasik	典	1	2	12			典	基本形
1173	content	klopod	尽	1	1	7			尽	単独
1174	content	klub	社	3	4	14	k	ᴷ	社ᴷ	頭文字唯一
1175	content	kompani	伴	1	3	22			伴	基本形
1176	content	konversaci	谈	1	1	4			谈	単独
1177	content	korekt	改	1	2	22			改	基本形
1178	content	menci	提	1	1	5			提	単独
1179	content	ministr	臣	1	1	33			臣	単独
1180	content	muze	馆	2	2	5	m	ᴹ	馆ᴹ	頭文字唯一
1181	content	preleg	讲	1	2	4			讲	基本形
1182	content	procent	率	1	1	7			率	単独
1183	content	prononc	音	1	2	8			音	基本形
1184	content	propon	议	3	4	13	pp	ᴾᴾ	议ᴾᴾ	子音位置2
1185	content	rabat	减	2	4	10	rb	ᴿᴮ	减ᴿᴮ	子音位置1
1186	content	redakt	编	2	4	12	r	ᴿ	编ᴿ	同頭文字初出/頭文字単独
1187	content	rol	役	1	1	9			役	単独
1188	content	roman	篇	1	2	28			篇	基本形
1189	content	situaci	况	1	2	10			况	基本形
1190	content	televid	视	1	1	20			视	単独
1191	content	trafik	交	1	2	29			交	基本形
1192	content	trud	强	2	3	34	t	ᵀ	强ᵀ	頭文字唯一
1193	content	universal	普	1	2	22			普	基本形
1194	content	universitat	学	3	4	9	u	ᵁ	学ᵁ	頭文字唯一
1195	content	avar	吝	1	1	11			吝	単独
1196	content	bala	扫	1	1	13			扫	単独
1197	content	barb	胡	1	1	22			胡	単独
1198	content	bek	嘴	1	1	21			嘴	単独
1199	content	bros	刷	1	1	10			刷	単独
1200	content	fleg	护	3	3	10	f	ᶠ	护ᶠ	頭文字唯一
1201	content	forn	炉	1	3	27			炉	基本形
1202	content	fromaĝ	酪	2	2	9	f	ᶠ	酪ᶠ	頭文字唯一
1203	content	frunt	额	1	1	3			额	単独
1204	content	glit	滑	1	3	45			滑	基本形
1205	content	kamen	炉	2	3	10	k	ᴷ	炉ᴷ	頭文字唯一
1206	content	kapr	羊	2	2	15	k	ᴷ	羊ᴷ	頭文字唯一
1207	content	karb	炭	1	1	49			炭	単独
1208	content	kel	窖	1	1	12			窖	単独
1209	content	komb	梳	1	1	18			梳	単独
1210	content	konfes	认	2	2	12	kf	ᴷᶠ	认ᴷᶠ	子音位置2
1211	content	korn	角	2	3	33	k	ᴷ	角ᴷ	頭文字唯一
1212	content	kravat	领	2	2	4	k	ᴷ	领ᴷ	頭文字唯一
1213	content	krim	罪	1	3	23			罪	基本形
1214	content	kuv	桶	2	3	7	k	ᴷ	桶ᴷ	頭文字唯一
1215	content	muŝ	蝇	1	1	20			蝇	単独
1216	content	pingl	针	1	2	22			针	基本形
1217	content	plat	扁	1	1	69			扁	単独
1218	content	plug	耕	2	2	17	p	ᴾ	耕ᴾ	頭文字唯一
1219	content	polv	尘	1	1	30			尘	単独
1220	content	pot	壶	1	2	27			壶	基本形
1221	content	rand	边	1	1	28			边	単独
1222	content	regn	国	3	3	22	r	ᴿ	国ᴿ	頭文字唯一
1223	content	ŝerc	逗	1	2	13			逗	基本形
1224	content	serpent	蛇	1	1	20			蛇	単独
1225	content	skrap	刮	1	1	28			刮	単独
1226	content	ŝnur	绳	1	1	42			绳	単独
1227	content	sort	命	1	1	10			命	単独
1228	content	ŝovel	铲	1	1	7			铲	単独
1229	content	spegul	镜	1	3	22			镜	基本形
1230	content	spic	香	1	2	12			香	基本形
1231	content	surd	聋	1	1	12			聋	単独
1232	content	tualet	妆	1	2	15			妆	基本形
1233	content	tus	咳	1	1	8			咳	単独
1234	content	ung	爪	1	1	15			爪	単独
1235	content	vost	尾	1	1	37			尾	単独
1236	content	abund	丰	1	1	17			丰	単独
1237	content	alumet	柴	1	1	3			柴	単独
1238	content	aŭtomat	动	3	6	18	a	ᴬ	动ᴬ	頭文字唯一
1239	content	aventur	冒	1	1	9			冒	単独
1240	content	balon	球	5	6	9	bn	ᴮᴺ	球ᴮᴺ	子音位置2
1241	content	ber	莓	1	3	47			莓	基本形
1242	content	bien	庄	2	2	13	b	ᴮ	庄ᴮ	頭文字唯一
1243	content	blond	金	3	3	3	b	ᴮ	金ᴮ	頭文字唯一
1244	content	brasik	菜	1	3	31			菜	基本形
1245	content	bret	板	4	5	10	b	ᴮ	板ᴮ	頭文字唯一
1246	content	brik	砖	1	1	15			砖	単独
1247	content	bul	团	3	5	23	b	ᴮ	团ᴮ	頭文字唯一
1248	content	ĉifon	破	2	2	12	ĉ	ᶜ̂	破ᶜ̂	頭文字唯一
1249	content	cigared	烟	3	3	7	c	ᶜ	烟ᶜ	頭文字唯一
1250	content	cikl	环	2	4	42	c	ᶜ	环ᶜ	同頭文字初出/頭文字単独
1251	content	dekliv	斜	2	3	13	d	ᴰ	斜ᴰ	頭文字唯一
1252	content	dezert	漠	1	1	21			漠	単独
1253	content	direktor	导	3	3	5	d	ᴰ	导ᴰ	頭文字唯一
1254	content	distanc	距	1	1	23			距	単独
1255	content	distr	散	2	3	12	dt	ᴰᵀ	散ᴰᵀ	子音位置2
1256	content	diven	猜	1	2	25			猜	基本形
1257	content	drat	线	2	2	31	d	ᴰ	线ᴰ	頭文字唯一
1258	content	dron	溺	1	1	7			溺	単独
1259	content	ekscit	激	1	2	19			激	基本形
1260	content	enu	厌	2	2	8	e	ᴱ	厌ᴱ	頭文字唯一
1261	content	fajf	笛	1	1	10			笛	単独
1262	content	farm	租	2	2	11	f	ᶠ	租ᶠ	頭文字唯一
1263	content	farun	粉	2	2	10	f	ᶠ	粉ᶠ	頭文字唯一
1264	content	fask	束	1	2	12			束	基本形
1265	content	flos	筏	1	1	24			筏	単独
1266	content	forĝ	锻	1	1	12			锻	単独
1267	content	frand	品	1	1	7			品	単独
1268	content	frenez	疯	1	1	14			疯	単独
1269	content	frost	霜	1	1	33			霜	単独
1270	content	frot	擦	1	1	33			擦	単独
1271	content	ĝem	呻	1	1	17			呻	単独
1272	content	glob	球	1	6	37			球	基本形
1273	content	gorĝ	喉	1	1	15			喉	単独
1274	content	graci	雅	2	2	8	g	ᴳ	雅ᴳ	頭文字唯一
1275	content	grimp	爬	1	2	19			爬	基本形
1276	content	grund	基	3	4	23	g	ᴳ	基ᴳ	頭文字唯一
1277	content	hak	砍	1	1	28			砍	単独
1278	content	hirund	燕	1	1	13			燕	単独
1279	content	instinkt	本	1	1	10			本	単独
1280	content	kadr	框	1	1	25			框	単独
1281	content	karot	萝	2	2	2	k	ᴷ	萝ᴷ	頭文字唯一
1282	content	kaserol	锅	3	3	2	ks	ᴷˢ	锅ᴷˢ	子音位置1
1283	content	katar	炎	1	1	9			炎	単独
1284	content	kaŭĉuk	胶	3	4	17	k	ᴷ	胶ᴷ	頭文字唯一
1285	content	kelner	侍	1	1	3			侍	単独
1286	content	komitat	委	1	5	16			委	基本形
1287	content	koton	棉	1	2	20			棉	基本形
1288	content	krem	酪	1	2	19			酪	基本形
1289	content	krev	裂	2	2	7	k	ᴷ	裂ᴷ	頭文字唯一
1290	content	kroĉ	钩	2	2	12	k	ᴷ	钩ᴷ	頭文字唯一
1291	content	kurb	曲	1	2	23			曲	基本形
1292	content	kurioz	奇	2	3	5	k	ᴷ	奇ᴷ	頭文字唯一
1293	content	kvadrat	方	3	4	10	kv	ᴷⱽ	方ᴷⱽ	子音位置1
1294	content	lam	跛	1	1	10			跛	単独
1295	content	larm	泪	1	1	18			泪	単独
1296	content	led	革	1	2	28			革	基本形
1297	content	leon	狮	1	1	14			狮	単独
1298	content	lepor	兔	1	2	14			兔	基本形
1299	content	majstr	师	1	1	16			师	単独
1300	content	makul	污	1	1	18			污	単独
1301	content	manik	袖	1	1	10			袖	単独
1302	content	martel	锤	1	1	18			锤	単独
1303	content	material	材	1	2	21			材	基本形
1304	content	matrac	垫	2	2	5	m	ᴹ	垫ᴹ	頭文字唯一
1305	content	menton	颏	1	1	6			颏	単独
1306	content	mord	咬	1	1	18			咬	単独
1307	content	muel	磨	1	2	26			磨	基本形
1308	content	najl	钉	1	1	11			钉	単独
1309	content	ofert	供	3	3	6	o	ᴼ	供ᴼ	頭文字唯一
1310	content	parti	党	1	1	49			党	単独
1311	content	pasport	照	1	2	3			照	基本形
1312	content	pastr	牧	2	2	14	ps	ᴾˢ	牧ᴾˢ	子音位置1
1313	content	pek	罪	3	3	21	p	ᴾ	罪ᴾ	頭文字唯一
1314	content	persekut	迫	1	1	8			迫	単独
1315	content	pes	衡	1	2	22			衡	基本形
1316	content	petol	玩	2	2	11	p	ᴾ	玩ᴾ	頭文字唯一
1317	content	pin	松	1	1	8			松	単独
1318	content	piz	豌	1	1	12			豌	単独
1319	content	plad	皿	1	1	7			皿	単独
1320	content	poet	诗	3	3	5	pt	ᴾᵀ	诗ᴾᵀ	子音位置1
1321	content	protekt	护	2	3	21	p	ᴾ	护ᴾ	頭文字唯一
1322	content	pugn	拳	1	1	8			拳	単独
1323	content	put	井	1	1	9			井	単独
1324	content	raz	剃	1	2	13			剃	基本形
1325	content	renvers	翻	1	1	8			翻	単独
1326	content	rok	岩	1	1	33			岩	単独
1327	content	salajr	酬	1	2	20			酬	基本形
1328	content	serur	锁	2	2	7	s	ˢ	锁ˢ	頭文字唯一
1329	content	ŝirm	庇	1	1	35			庇	単独
1330	content	skal	度	2	2	13	s	ˢ	度ˢ	頭文字唯一
1331	content	skulpt	雕	2	2	9	s	ˢ	雕ˢ	頭文字唯一
1332	content	stal	厩	1	1	11			厩	単独
1333	content	standard	旗	2	2	3	s	ˢ	旗ˢ	頭文字唯一
1334	content	stern	铺	1	1	8			铺	単独
1335	content	tabak	烟	2	3	15	t	ᵀ	烟ᵀ	頭文字唯一
1336	content	tapiŝ	毯	1	1	11			毯	単独
1337	content	teks	织	1	3	30			织	基本形
1338	content	tent	诱	1	1	6			诱	単独
1339	content	tritik	麦	1	3	6			麦	基本形
1340	content	tub	管	1	2	81			管	基本形
1341	content	vat	棉	2	2	16	v	ⱽ	棉ⱽ	頭文字唯一
1342	content	vaz	器	4	5	17	v	ⱽ	器ⱽ	頭文字唯一
1343	content	verm	虫	1	2	22			虫	基本形
1344	content	vers	句	2	2	21	v	ⱽ	句ⱽ	頭文字唯一
1345	content	viol	堇	1	1	14			堇	単独
1346	content	abomen	厌	1	2	9			厌	基本形
1347	content	ard	炽	1	1	14			炽	単独
1348	content	betul	桦	1	1	2			桦	単独
1349	content	bulvard	道	1	2	3			道	基本形
1350	content	desert	点	3	3	4	d	ᴰ	点ᴰ	頭文字唯一
1351	content	detal	细	2	2	19	dt	ᴰᵀ	细ᴰᵀ	子音位置1
1352	content	diabl	魔	2	4	14	d	ᴰ	魔ᴰ	頭文字唯一
1353	content	drap	呢	1	1	4			呢	単独
1354	content	emoci	情	2	3	11	e	ᴱ	情ᴱ	頭文字唯一
1355	content	ezok	鱼	2	2	2	e	ᴱ	鱼ᴱ	頭文字唯一
1356	content	fonograf	声	3	3	0	f	ᶠ	声ᶠ	頭文字唯一
1357	content	framb	莓	3	3	2	fm	ᶠᴹ	莓ᶠᴹ	子音位置2
1358	content	fulg	煤	1	1	9			煤	単独
1359	content	funt	磅	1	1	3			磅	単独
1360	content	garaĝ	库	3	3	4	g	ᴳ	库ᴳ	頭文字唯一
1361	content	gest	姿	1	1	13			姿	単独
1362	content	glor	荣	1	2	23			荣	基本形
1363	content	hajl	雹	1	1	7			雹	単独
1364	content	ĥemi	化	3	3	2	ĥ	ᴴ̂	化ᴴ̂	頭文字唯一
1365	content	huf	蹄	1	1	11			蹄	単独
1366	content	kapric	随	2	2	4	k	ᴷ	随ᴷ	頭文字唯一
1367	content	kilometr	千	2	2	0	k	ᴷ	千ᴷ	頭文字唯一
1368	content	kitel	罩	2	2	2	k	ᴷ	罩ᴷ	頭文字唯一
1369	content	komplez	惠	1	1	6			惠	単独
1370	content	konfit	糖	2	3	5	k	ᴷ	糖ᴷ	頭文字唯一
1371	content	kopi	复	1	4	31			复	基本形
1372	content	kork	塞	1	1	7			塞	単独
1373	content	kukol	鹃	1	1	4			鹃	単独
1374	content	lamen	箔	1	1	14			箔	単独
1375	content	meĥanik	械	2	3	1	mĥ	ᴹᴴ̂	械ᴹᴴ̂	子音位置1
1376	content	meĥanism	机	4	4	0	mĥ	ᴹᴴ̂	机ᴹᴴ̂	子音位置1
1377	content	melk	挤	1	1	7			挤	単独
1378	content	milimetr	毫	1	1	0			毫	単独
1379	content	munt	装	2	5	14	m	ᴹ	装ᴹ	頭文字唯一
1380	content	net	清	2	2	19	n	ᴺ	清ᴺ	頭文字唯一
1381	content	oliv	榄	1	1	7			榄	単独
1382	content	operaci	操	1	3	19			操	基本形
1383	content	orf	孤	1	1	7			孤	単独
1384	content	ort	角	3	3	17	o	ᴼ	角ᴼ	頭文字唯一
1385	content	Pask	节	6	7	3	p	ᴾ	节ᴾ	頭文字唯一
1386	content	paŭz	歇	1	1	9			歇	単独
1387	content	pioĉ	镐	1	1	6			镐	単独
1388	content	plet	盘	3	3	4	p	ᴾ	盘ᴾ	頭文字唯一
1389	content	proviz	供	1	3	17			供	基本形
1390	content	reklam	宣	1	3	21			宣	基本形
1391	content	rekompenc	酬	2	2	4	r	ᴿ	酬ᴿ	頭文字唯一
1392	content	rekord	记	4	4	9	r	ᴿ	记ᴿ	頭文字唯一
1393	content	ribel	叛	1	2	10			叛	基本形
1394	content	sitel	桶	3	3	2	s	ˢ	桶ˢ	頭文字唯一
1395	content	stamp	印	2	4	18	s	ˢ	印ˢ	同頭文字初出/頭文字単独
1396	content	strik	罢	1	1	16			罢	単独
1397	content	stump	桩	1	1	9			桩	単独
1398	content	telegram	报	5	5	0	tm	ᵀᴹ	报ᵀᴹ	子音位置4
1399	content	tempest	暴	2	2	3	t	ᵀ	暴ᵀ	頭文字唯一
1400	content	traktor	拖	2	2	2	tk	ᵀᴷ	拖ᵀᴷ	子音位置2
1401	content	tribunal	院	2	5	9	t	ᵀ	院ᵀ	頭文字唯一
1402	content	verg	枝	2	2	13	v	ⱽ	枝ⱽ	頭文字唯一
1403	content	vert	顶	4	4	3	v	ⱽ	顶ⱽ	頭文字唯一
1404	content	vit	葡	1	1	5			葡	単独
1405	content	abel	蜂	1	1	21			蜂	単独
1406	content	adici	加	2	2	4	a	ᴬ	加ᴬ	頭文字唯一
1407	content	adjektiv	形	4	4	2	a	ᴬ	形ᴬ	頭文字唯一
1408	content	administr	管	2	2	14	a	ᴬ	管ᴬ	頭文字唯一
1409	content	admon	劝	1	1	6			劝	単独
1410	content	adopt	收	2	2	16	a	ᴬ	收ᴬ	頭文字唯一
1411	content	advokat	辩	3	3	5	a	ᴬ	辩ᴬ	頭文字唯一
1412	content	afiŝ	贴	1	2	10			贴	基本形
1413	content	afrank	贴	2	2	4	ar	ᴬᴿ	贴ᴬᴿ	子音位置2
1414	content	akcel	促	1	1	15			促	単独
1415	content	akurat	准	2	2	3	a	ᴬ	准ᴬ	頭文字唯一
1416	content	album	册	4	5	3	a	ᴬ	册ᴬ	頭文字唯一
1417	content	alkohol	醇	1	1	22			醇	単独
1418	content	almoz	施	1	1	13			施	単独
1419	content	ampleks	广	2	2	14	a	ᴬ	广ᴬ	頭文字唯一
1420	content	anas	鸭	1	1	14			鸭	単独
1421	content	anĝel	使	2	5	9	a	ᴬ	使ᴬ	同頭文字初出/頭文字単独
1422	content	animal	兽	2	2	8	a	ᴬ	兽ᴬ	頭文字唯一
1423	content	apartament	寓	1	1	3			寓	単独
1424	content	apetit	欲	2	2	11	a	ᴬ	欲ᴬ	頭文字唯一
1425	content	apotek	药	2	2	3	a	ᴬ	药ᴬ	頭文字唯一
1426	content	arane	蛛	1	1	10			蛛	単独
1427	content	ark	弧	1	1	35			弧	単独
1428	content	asekur	保	1	3	30			保	基本形
1429	content	atest	证	1	5	19			证	基本形
1430	content	aŭtomobil	车	6	6	0	am	ᴬᴹ	车ᴬᴹ	子音位置3
1431	content	aŭtoritat	权	2	2	6	a	ᴬ	权ᴬ	頭文字唯一
1432	content	avenu	道	2	2	1	a	ᴬ	道ᴬ	頭文字唯一
1433	content	avid	贪	1	1	14			贪	単独
1434	content	bak	烤	2	2	17	b	ᴮ	烤ᴮ	頭文字唯一
1435	content	balanc	摇	3	4	10	b	ᴮ	摇ᴮ	頭文字唯一
1436	content	barakt	挣	1	1	2			挣	単独
1437	content	barel	桶	1	3	15			桶	基本形
1438	content	bazar	市	5	5	13	bz	ᴮᶻ	市ᴮᶻ	子音位置1
1439	content	beb	婴	1	1	7			婴	単独
1440	content	ben	祝	1	2	10			祝	基本形
1441	content	benzin	油	4	4	9	bn	ᴮᴺ	油ᴮᴺ	子音位置1
1442	content	bluz	衫	2	2	2	b	ᴮ	衫ᴮ	頭文字唯一
1443	content	boj	吠	1	1	5			吠	単独
1444	content	bombon	糖	3	3	4	b	ᴮ	糖ᴮ	頭文字唯一
1445	content	bor	钻	1	2	28			钻	基本形
1446	content	brav	勇	2	2	8	b	ᴮ	勇ᴮ	頭文字唯一
1447	content	brems	刹	1	1	21			刹	単独
1448	content	broŝur	册	2	5	6	b	ᴮ	册ᴮ	頭文字唯一
1449	content	brov	眉	1	1	5			眉	単独
1450	content	bub	顽	2	2	6	b	ᴮ	顽ᴮ	頭文字唯一
1451	content	bud	棚	1	1	7			棚	単独
1452	content	ĉagren	恼	1	2	6			恼	基本形
1453	content	ĉek	票	3	3	10	ĉ	ᶜ̂	票ᶜ̂	頭文字唯一
1454	content	cement	胶	4	4	11	c	ᶜ	胶ᶜ	頭文字唯一
1455	content	ĉen	链	1	2	46			链	基本形
1456	content	ĉeriz	樱	1	1	13			樱	単独
1457	content	ĉerp	汲	1	1	16			汲	単独
1458	content	cirkonstanc	况	2	2	7	c	ᶜ	况ᶜ	頭文字唯一
1459	content	cit	引	1	1	23			引	単独
1460	content	civiliz	教	3	3	0	c	ᶜ	教ᶜ	頭文字唯一
1461	content	dediĉ	献	2	2	6	d	ᴰ	献ᴰ	頭文字唯一
1462	content	deficit	亏	1	1	4			亏	単独
1463	content	degel	融	1	1	5			融	単独
1464	content	deklar	宣	3	3	11	d	ᴰ	宣ᴰ	頭文字唯一
1465	content	dekoraci	饰	2	2	6	d	ᴰ	饰ᴰ	頭文字唯一
1466	content	deleg	委	4	5	8	d	ᴰ	委ᴰ	頭文字唯一
1467	content	destin	定	4	4	6	ds	ᴰˢ	定ᴰˢ	子音位置1
1468	content	disk	盘	1	3	48			盘	基本形
1469	content	disput	争	1	1	8			争	単独
1470	content	distribu	配	1	1	16			配	単独
1471	content	dram	剧	2	4	10	d	ᴰ	剧ᴰ	頭文字唯一
1472	content	dung	雇	1	1	23			雇	単独
1473	content	duŝ	淋	1	1	11			淋	単独
1474	content	ebri	醉	1	2	11			醉	基本形
1475	content	eksperiment	验	2	2	12	e	ᴱ	验ᴱ	頭文字唯一
1476	content	eksplod	爆	1	1	16			爆	単独
1477	content	elefant	象	1	1	5			象	単独
1478	content	elegant	雅	1	2	9			雅	基本形
1479	content	eminent	杰	1	2	15			杰	基本形
1480	content	enigm	谜	1	2	7			谜	基本形
1481	content	entrepren	办	2	3	19	e	ᴱ	办ᴱ	頭文字唯一
1482	content	envi	羡	1	1	10			羡	単独
1483	content	fanfaron	夸	1	1	6			夸	単独
1484	content	farb	颜	2	2	12	f	ᶠ	颜ᶠ	頭文字唯一
1485	content	faŭk	口	2	2	5	f	ᶠ	口ᶠ	頭文字唯一
1486	content	febr	烧	1	1	22			烧	単独
1487	content	fel	皮	2	3	17	f	ᶠ	皮ᶠ	頭文字唯一
1488	content	festen	宴	1	1	7			宴	単独
1489	content	financ	财	1	1	26			财	単独
1490	content	fizik	理	1	5	31			理	基本形
1491	content	flar	嗅	1	1	16			嗅	単独
1492	content	flirt	飘	1	1	8			飘	単独
1493	content	foir	集	2	3	9	f	ᶠ	集ᶠ	頭文字唯一
1494	content	fond	建	2	2	21	f	ᶠ	建ᶠ	頭文字唯一
1495	content	fost	柱	2	2	13	f	ᶠ	柱ᶠ	頭文字唯一
1496	content	frag	莓	2	3	9	f	ᶠ	莓ᶠ	同頭文字初出/頭文字単独
1497	content	frakas	碎	1	1	7			碎	単独
1498	content	frit	炸	1	3	9			炸	基本形
1499	content	friz	卷	3	4	14	f	ᶠ	卷ᶠ	頭文字唯一
1500	content	fundament	基	4	4	19	f	ᶠ	基ᶠ	頭文字唯一
1501	content	funebr	丧	1	1	14			丧	単独
1502	content	gant	套	1	1	16			套	単独
1503	content	garanti	保	2	3	10	g	ᴳ	保ᴳ	頭文字唯一
1504	content	geni	才	2	3	4	g	ᴳ	才ᴳ	頭文字唯一
1505	content	glad	烫	1	1	9			烫	単独
1506	content	glut	吞	1	1	11			吞	単独
1507	content	golf	湾	1	1	23			湾	単独
1508	content	grajn	粒	2	2	26	g	ᴳ	粒ᴳ	頭文字唯一
1509	content	hered	继	1	1	29			继	単独
1510	content	hero	杰	2	2	10	h	ᴴ	杰ᴴ	頭文字唯一
1511	content	hok	钩	1	2	25			钩	基本形
1512	content	humid	湿	1	1	3			湿	単独
1513	content	ident	同	2	3	10	i	ᴵ	同ᴵ	頭文字唯一
1514	content	ilustr	图	2	2	7	i	ᴵ	图ᴵ	頭文字唯一
1515	content	imperi	帝	1	1	14			帝	単独
1516	content	import	进	2	2	9	i	ᴵ	进ᴵ	頭文字唯一
1517	content	impost	税	1	1	44			税	単独
1518	content	impres	印	4	4	10	i	ᴵ	印ᴵ	頭文字唯一
1519	content	indiferent	冷	1	1	6			冷	単独
1520	content	inĝenier	技	2	3	12	i	ᴵ	技ᴵ	頭文字唯一
1521	content	inklin	倾	2	2	8	i	ᴵ	倾ᴵ	頭文字唯一
1522	content	insist	坚	4	4	7	i	ᴵ	坚ᴵ	頭文字唯一
1523	content	instal	装	4	5	13	i	ᴵ	装ᴵ	頭文字唯一
1524	content	instig	唆	1	1	8			唆	単独
1525	content	instrument	器	5	5	17	i	ᴵ	器ᴵ	頭文字唯一
1526	content	insult	侮	2	2	7	i	ᴵ	侮ᴵ	頭文字唯一
1527	content	intelekt	智	3	3	11	i	ᴵ	智ᴵ	頭文字唯一
1528	content	inteligent	聪	1	1	8			聪	単独
1529	content	ĵaluz	妒	1	1	4			妒	単独
1530	content	jur	法	1	3	19			法	基本形
1531	content	ĵur	誓	1	1	19			誓	単独
1532	content	juvel	宝	1	2	9			宝	基本形
1533	content	kabinet	阁	2	2	5	k	ᴷ	阁ᴷ	頭文字唯一
1534	content	kalendar	历	1	1	9			历	単独
1535	content	recept	方	4	4	3	r	ᴿ	方ᴿ	頭文字唯一
1536	content	regal	款	1	1	4			款	単独
1537	content	rem	划	3	3	16	r	ᴿ	划ᴿ	頭文字唯一
1538	content	respublik	共	3	3	13	r	ᴿ	共ᴿ	頭文字唯一
1539	content	rezign	弃	1	1	4			弃	単独
1540	content	rezist	抗	1	3	28			抗	基本形
