類型	層A	語A	面A	層B	語B	面B
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	strabismo	斜ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	strukturismo	构主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	teismo	神ᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	terorismo	怖主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	tradiciismo	统主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	trau^matismo	创ᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	tropismo	向ᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	veganismo	素ⱽᴺ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	vegetarismo	素ⱽ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	vulgarismo	俗ⱽ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	zenismo	禅主义
高重複(恣意的)	PEJVO	imperiismo	帝主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	individuismo	个主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	industriismo	业主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	infanismo	童主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	inflaciismo	胀ᴵ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	intelektismo	智ᴵ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	karierismo	职ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	katastrofismo	灾主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kavalirismo	士主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kemiisto	化学家	PEJVO	meteologo	气ᴹ学家
高重複(恣意的)	PEJVO	kemiisto	化学家	PEJVO	mineralogo	矿ᴹᴵ学家
高重複(恣意的)	PEJVO	klasikismo	典主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	klerismo	文主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kokosbutero	椰黄油	PEJVO	koproleo	椰干油
高重複(恣意的)	PEJVO	kolc^iko	秋水仙	PEJVO	poetnarciso	诗ᴾᵀ水仙
高重複(恣意的)	PEJVO	koloniismo	殖主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	komunisma	共ᴷᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	koncesiulo	特许ᴷ者	PEJVO	patentaj^o	特许物
高重複(恣意的)	PEJVO	koncesiulo	特许ᴷ者	PEJVO	patentigi	特许使
高重複(恣意的)	PEJVO	koncesiulo	特许ᴷ者	PEJVO	patentita	特许受
高重複(恣意的)	PEJVO	koncesiulo	特许ᴷ者	PEJVO	patentrajto	特许权
高重複(恣意的)	PEJVO	konformismo	合ᴷᴺ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	konjunktivito	结膜炎ᵀ	PEJVO	meninginflamo	脑膜炎ᴵ
高重複(恣意的)	PEJVO	konservativismo	存ᴷᵀ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kontingencismo	偶ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kooperativismo	协主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	korneito	角膜炎ᵀ	PEJVO	meninginflamo	脑膜炎ᴵ
高重複(恣意的)	PEJVO	kosmopolitismo	泛主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kretenismo	痴ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kritikismo	评ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kubismo	方ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	kvietismo	静ᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	lakonismo	简ᴸ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	latiro	香豌豆	PEJVO	vicio	野豌豆
高重複(恣意的)	PEJVO	latuninstrumento	黄铜器ᴵ	PEJVO	tombakaj^o	黄铜ᵀ物
高重複(恣意的)	PEJVO	libertinismo	荡ᴸ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	limando	比目鱼ᴸ	PEJVO	pleu^ronektedoj	比目鱼科ᴱ
高重複(恣意的)	PEJVO	limfatismo	淋ᴸᵀ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	lirikismo	抒主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	lirismo	琴ᴸ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	lokismo	处主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	magnetismo	磁主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	magnetito	磁铁矿	PEJVO	pirito	黄铁矿
高重複(恣意的)	PEJVO	manierismo	式主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	mas^inismo	机主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	matematikisto	数学家	PEJVO	meteologo	气ᴹ学家
高重複(恣意的)	PEJVO	matematikisto	数学家	PEJVO	mineralogo	矿ᴹᴵ学家
高重複(恣意的)	PEJVO	materiismo	质ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	mediumismo	媒ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	megatuno	百万ᴹᴳ吨	PEJVO	milionobla	百万倍
高重複(恣意的)	PEJVO	megatuno	百万ᴹᴳ吨	PEJVO	milionono	百万分
高重複(恣意的)	PEJVO	megatuno	百万ᴹᴳ吨	PEJVO	milionulo	百万者
高重複(恣意的)	PEJVO	megavato	百万ᴹᴳ瓦ⱽ	PEJVO	milionobla	百万倍
高重複(恣意的)	PEJVO	megavato	百万ᴹᴳ瓦ⱽ	PEJVO	milionono	百万分
高重複(恣意的)	PEJVO	megavato	百万ᴹᴳ瓦ⱽ	PEJVO	milionulo	百万者
高重複(恣意的)	PEJVO	mekanikismo	械主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	meninginflamo	脑膜炎ᴵ	PEJVO	peritoneito	腹膜炎ᵀ
高重複(恣意的)	PEJVO	meninginflamo	脑膜炎ᴵ	PEJVO	pleu^rito	胸膜炎ᵀ
高重複(恣意的)	PEJVO	mentonbendo	下巴带ᴮ	PEJVO	subtropika	下热带
高重複(恣意的)	PEJVO	mentonrimeno	下巴带ᴿ	PEJVO	subtropika	下热带
高重複(恣意的)	PEJVO	meringelo	蛋白霜ᴹᴸ	PEJVO	opalo	蛋白石
高重複(恣意的)	PEJVO	meringi	蛋白霜	PEJVO	opalo	蛋白石
高重複(恣意的)	PEJVO	meteologo	气ᴹ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	meteorismo	陨主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	metodismo	法ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	migdalarbo	扁桃树	PEJVO	tonsilito	扁桃ᵀ炎ᵀ
高重複(恣意的)	PEJVO	migdalglando	扁桃腺	PEJVO	tonsilito	扁桃ᵀ炎ᵀ
高重複(恣意的)	PEJVO	migdalokula	扁桃目	PEJVO	tonsilito	扁桃ᵀ炎ᵀ
高重複(恣意的)	PEJVO	migdaloleo	扁桃油	PEJVO	tonsilito	扁桃ᵀ炎ᵀ
高重複(恣意的)	PEJVO	migdalujo	扁桃器	PEJVO	tonsilito	扁桃ᵀ炎ᵀ
高重複(恣意的)	PEJVO	militarismo	军ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	militismo	战主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	mineralogo	矿ᴹᴵ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	mistikismo	秘ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	moderismo	适ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	modernismo	现ᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	monismo	单ᴹᴼ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	naciismo	族主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	narkotismo	麻ᴺ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	naturismo	然主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	needukebla	不育ᴱ可	PEJVO	sterileco	不育性
高重複(恣意的)	PEJVO	needukebla	不育ᴱ可	PEJVO	steriligi	不育使
高重複(恣意的)	PEJVO	needukebla	不育ᴱ可	PEJVO	sterilizi	不育化
高重複(恣意的)	PEJVO	needukita	不育ᴱ受	PEJVO	sterileco	不育性
高重複(恣意的)	PEJVO	needukita	不育ᴱ受	PEJVO	steriligi	不育使
高重複(恣意的)	PEJVO	needukita	不育ᴱ受	PEJVO	sterilizi	不育化
高重複(恣意的)	PEJVO	neolitiko	新ᴺᴱ石ᴸᵀ学ᴵ	PEJVO	novs^tonepoko	新石纪
高重複(恣意的)	PEJVO	nervaro	神经群	PEJVO	neu^ralgio	神经ᴺᵁ̆痛ᴬ
高重複(恣意的)	PEJVO	nervaro	神经群	PEJVO	neu^rastenio	神经ᴺᵁ̆弱ᴬ
高重複(恣意的)	PEJVO	nervaro	神经群	PEJVO	neu^roza	神经ᴺᵁ̆症ᴼ
高重複(恣意的)	PEJVO	noktuo	猫头鹰ᴺ	PEJVO	orelstrigo	耳猫头鹰
高重複(恣意的)	PEJVO	noktuo	猫头鹰ᴺ	PEJVO	turstrigo	塔猫头鹰
高重複(恣意的)	PEJVO	nomadismo	牧ᴺ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	nudismo	裸主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	okcipitosto	后脑骨	PEJVO	postkilo	后龙骨
高重複(恣意的)	PEJVO	okultismo	秘ᴼ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	oportunismo	便主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	optimisma	乐ᴼᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	orelstrigo	耳猫头鹰	PEJVO	otuso	猫头鹰ᴼ
高重複(恣意的)	PEJVO	organismo	器ᴼ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ortangulo	直角角	PEJVO	T-ortilo	T-直角具
高重複(恣意的)	PEJVO	ortanto	直角在	PEJVO	T-ortilo	T-直角具
高重複(恣意的)	PEJVO	otuso	猫头鹰ᴼ	PEJVO	turstrigo	塔猫头鹰
高重複(恣意的)	PEJVO	pacifismo	和ᴾᶠ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	pacismo	和主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	paganismo	异ᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	parlamentismo	议ᴾᴸ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	paroksisma	极ᴾᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	partikularismo	私ᴾᵀ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	paseismo	过ᴾᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	pesimisma	悲ᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	pietismo	敬ᴾᵀ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	planismo	划主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	plateso	比目鱼ᴾᵀ	PEJVO	pleu^ronektedoj	比目鱼科ᴱ
高重複(恣意的)	PEJVO	plumbismo	铅主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	plurbajta	多ᴾᴿ字节	PEJVO	polimero	多ᴾ链节
高重複(恣意的)	PEJVO	plurismo	多ᴾᴿ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	pozitivismo	正ᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	pragmatismo	实ᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	prerilupo	草原ᴾ狼	PEJVO	stepvulpo	草原狐
高重複(恣意的)	PEJVO	protektismo	护ᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	neismo	不主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	purismo	纯主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	raciismo	理ᴿ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	rasismo	种ᴿ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	regionismo	区主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	relativisma	相主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	reviziismo	审主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	rigorismo	严ᴿ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	ritismo	仪主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	rutinismo	惯主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	s^amanismo	巫ˢ̂主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	s^tatismo	国ˢ̂主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	satanismo	魔ˢᵀ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	saturnismo	土ˢᵀ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sciencismo	科主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	seksismo	性ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sektismo	派ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sensismo	感ˢˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	silogismi	论ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sindikatismo	盟主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sinkretismo	混ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	skemismo	图ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	skeptikismo	疑ˢᴷ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	sklavismo	奴主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	skoltismo	侦主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	spiritisma	灵主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	stoikismo	忍ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	strabismo	斜ˢ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	strukturismo	构主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	teismo	神ᵀ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	terorismo	怖主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	tradiciismo	统主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	trau^matismo	创ᵀ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	tropismo	向ᵀ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	veganismo	素ⱽᴺ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	vegetarismo	素ⱽ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	vulgarismo	俗ⱽ主义
高重複(恣意的)	PEJVO	provincialismo	省主义	PEJVO	zenismo	禅主义
高重複(恣意的)	PEJVO	punkcinadlo	穿刺针	PEJVO	trapikilo	穿刺具
高重複(恣意的)	PEJVO	samtempulo	同时者	PEJVO	simultaneco	同时性
高重複(恣意的)	PEJVO	soprana	女高音	PEJVO	tenora	男高音
高重複(恣意的)	PEJVO	uretrinflamo	尿道炎ᴵ	PEJVO	vaginito	阴道炎ᵀ
完全衝突(異義)	CSV2890	mezo	中	PIV	mesoo	中
完全衝突(異義)	CSV2890	neniam	无时	PIV	sentempa	无时
完全衝突(異義)	CSV2890	si	己	PIV	heks	己
高重複(恣意的)	CSV2890	decembro	十二月	PIV	dodekaedro	十二面ᴱ
高重複(恣意的)	CSV2890	decembro	十二月	PIV	dodekafona	十二声ᶠᴼ
高重複(恣意的)	CSV2890	karoto	胡萝卜	PIV	furag^rapo	饲萝卜ᴿᴾ
高重複(恣意的)	CSV2890	karoto	胡萝卜	PIV	g^ardenrapo	园萝卜ᴿᴾ
完全衝突(異義)	PEJVO	alburno	白鱼	PIV	blankfis^o	白鱼
完全衝突(異義)	PEJVO	c^evalkas^tano	马栗	PIV	hipokastano	马栗
完全衝突(異義)	PEJVO	dukolora	二色	PIV	dikroa	二色
完全衝突(異義)	PEJVO	endosmozo	内渗	PIV	enosmozo	内渗
完全衝突(異義)	PEJVO	fraji	鱼卵	PIV	fis^ovoj	鱼卵
完全衝突(異義)	PEJVO	frakulo	燕尾者	PIV	hirundvostulo	燕尾者
完全衝突(異義)	PEJVO	fritkuko	炸糕	PIV	benjeto	炸糕
完全衝突(異義)	PEJVO	interpunkcii	标点	PIV	celpunkto	标点
完全衝突(異義)	PEJVO	klinangulo	斜角	PIV	skaleno	斜角
完全衝突(異義)	PEJVO	kolharoj	颈毛	PIV	krino	颈毛
完全衝突(異義)	PEJVO	kombinig^i	合成	PIV	anabolo	合成
完全衝突(異義)	PEJVO	konvekti	对流	PIV	kontrau^flue	对流
完全衝突(異義)	PEJVO	miljara	千年	PIV	milenio	千年
完全衝突(異義)	PEJVO	multkolora	多色	PIV	pleokroa	多色
完全衝突(異義)	PEJVO	multkoloreco	多色性	PIV	pleokroeco	多色性
完全衝突(異義)	PEJVO	nelonga	不长	PIV	nelge	不长
完全衝突(異義)	PEJVO	pavezo	船壁	PIV	s^ipmuro	船壁
完全衝突(異義)	PEJVO	reakciigi	反应使	PIV	maldevigi	反应使
完全衝突(異義)	PEJVO	sameco	同性	PIV	gejo	同性
完全衝突(異義)	PEJVO	samtempa	同时	PIV	simultana	同时
完全衝突(異義)	PEJVO	tripanosomo	原兽ᵀ	PIV	praterioj	原兽ᵀ
完全衝突(異義)	PEJVO	tripkolbaso	肚肠	PIV	andujo	肚肠
完全衝突(異義)	PEJVO	unudiismo	一神主义	PIV	unitariismo	一神主义
完全衝突(異義)	PEJVO	unueca	一性	PIV	monofizito	一性
転置(恣意的)	PEJVO	bestego	兽巨	PIV	megaterio	巨ᴹᴱ兽ᵀ
転置(恣意的)	PEJVO	fonduso	基金	PIV	kromiilo	金ᴷᴿ基ᴵ
転置(恣意的)	PEJVO	futbaltereno	球ᶠ地ᵀᴺ	PIV	geosfero	地ᴳ球ˢ
転置(恣意的)	PEJVO	hejmurbo	家ᴴ市	PIV	bazaristo	市ᴮᶻ家
転置(恣意的)	PEJVO	impotenta	性无能	PIV	senkapableco	无能ᴷ性
転置(恣意的)	PEJVO	jarmilo	年千	PIV	milenio	千年
転置(恣意的)	PEJVO	memortago	记日	PIV	heliografo	日ᴴ记ᴳ
転置(恣意的)	PEJVO	misiisto	使ᴹ家	PIV	hejmigi	家ᴴ使
転置(恣意的)	PEJVO	postakus^o	后产ᴬ	PIV	puerpera	产后
高重複(恣意的)	PEJVO	T-ortilo	T-直角具	PIV	ortaj^o	直角物
高重複(恣意的)	PEJVO	abatejo	院长所	PIV	prioreco	院长ᴾ性
高重複(恣意的)	PEJVO	abatino	院长女	PIV	prioreco	院长ᴾ性
高重複(恣意的)	PEJVO	albumino	白蛋白	PIV	globulino	球蛋白
高重複(恣意的)	PEJVO	albumino	白蛋白	PIV	heteroproteino	异ᴴ蛋白
高重複(恣意的)	PEJVO	albumino	白蛋白	PIV	lipidproteino	脂ᴸᴾ蛋白
高重複(恣意的)	PEJVO	ambau^seksema	两性ˢ倾	PIV	hermafroditflora	两ᴴ性ᴬᶠ花
高重複(恣意的)	PEJVO	ananas-suko	菠萝-汁	PIV	jakvo	菠萝蜜
高重複(恣意的)	PEJVO	ananasujo	菠萝器	PIV	jakvo	菠萝蜜
高重複(恣意的)	PEJVO	apuso	金丝燕ᴬ	PIV	salangannesto	金丝燕巢
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PIV	dietikisto	节学ᴵ家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PIV	kladikisto	支ᴷ学ᴵ家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PIV	komputikisto	算ᴷᴹ学ᴵ家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PIV	metodikisto	法ᴹ学ᴵ家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PIV	dietikisto	节学ᴵ家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PIV	kladikisto	支ᴷ学ᴵ家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PIV	komputikisto	算ᴷᴹ学ᴵ家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PIV	metodikisto	法ᴹ学ᴵ家
高重複(恣意的)	PEJVO	aspido	眼镜蛇ᴬ	PIV	krac^kobro	吐ᴷ眼镜蛇
高重複(恣意的)	PEJVO	ateista	无ᴬ神ᵀ家	PIV	sendiulo	无神者
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PIV	dietikisto	节学ᴵ家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PIV	kladikisto	支ᴷ学ᴵ家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PIV	komputikisto	算ᴷᴹ学ᴵ家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PIV	metodikisto	法ᴹ学ᴵ家
高重複(恣意的)	PEJVO	c^efpontifiko	首主祭ᴾᴺ	PIV	arkidiakono	首ᴬ助祭
高重複(恣意的)	PEJVO	cedratujo	香柑器	PIV	bergamotarbo	香柑ᴮ树
高重複(恣意的)	PEJVO	cedratujo	香柑器	PIV	bergamotfrukto	香柑ᴮ果
高重複(恣意的)	PEJVO	cekuminflamo	盲肠炎ᴵ	PIV	gastrenterito	胃ᴳ肠ᴱ炎ᵀ
高重複(恣意的)	PEJVO	cekuminflamo	盲肠炎ᴵ	PIV	rektumito	直肠炎ᵀ
高重複(恣意的)	PEJVO	cidoniarbo	木瓜ᶜ树	PIV	karikfikuso	木瓜ᴷ榕
高重複(恣意的)	PEJVO	cipselo	金丝燕ᶜ	PIV	salangannesto	金丝燕巢
高重複(恣意的)	PEJVO	cirkvitrompilo	路ᶜ破具	PIV	vojindikatoro	路指ᴵ具ᴬ
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenarang^o	数据整ᴬ
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenaro	数据群
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenbazo	数据基
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datendisko	数据盘ᴰ
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	dateningo	数据座
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenopo	数据组
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenprogramo	数据程
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenspeco	数据种ˢᴾ
高重複(恣意的)	PEJVO	datumbanko	数据ᴰᴹ银ᴮ	PIV	datenstrukturo	数据构
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenarang^o	数据整ᴬ
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenaro	数据群
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenbanko	数据银ᴮ
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datendisko	数据盘ᴰ
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	dateningo	数据座
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenopo	数据组
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenprogramo	数据程
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenspeco	数据种ˢᴾ
高重複(恣意的)	PEJVO	datumbazo	数据ᴰᴹ基	PIV	datenstrukturo	数据构
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenarang^o	数据整ᴬ
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenaro	数据群
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenbanko	数据银ᴮ
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenbazo	数据基
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datendisko	数据盘ᴰ
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	dateningo	数据座
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenopo	数据组
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenprogramo	数据程
高重複(恣意的)	PEJVO	datumstrukturo	数据ᴰᴹ构	PIV	datenspeco	数据种ˢᴾ
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	abandonismo	弃ᴬᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	abolismo	废ᴬ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	aktualismo	现ᴬᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	alpismo	峰主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	aneksismo	并ᴬ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	arg^entismo	银主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	atropismo	颠ᴬ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	bankismo	银ᴮ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	bismutismo	金ᴮˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	botulismo	菌ᴮᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	dajmonismo	神灵主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	defetismo	败ᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	deviaciismo	偏ᴰᶜ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	direktismo	方主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	ekzistismo	存主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	erotismo	色ᴱᴿ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	eskapismo	逃ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	etnismo	族ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PIV	fabismo	豆主义
