root	proposal	tier	rationale	verdict	problem	fix
polp	触贝	3_compound	頭足類タコ。eledon等=贝、触腕の触を添える	OK	留意: 頭足類の字は不統一(kalmar=鱼/sepi=墨鱼/eledon=贝/arkiteŭt=贝)。ただしタコ属eledon=贝に合わせる選択は妥当。触はtuŝだがtentakl=触手/anten=触角の系で読める。全字パレット内。	
primol	樱草	3_compound	サクラソウ=樱草。樱(sakur)+草	OK	sakur=樱と整合。报春(中国名)の报は生物用途外の一般字で、樱草の方が既存字運用に沿う。	
pteridi	雕齿	3_compound	ワラビ=aglofiliko。雕(agl)+齿(羊齿)	NG	osmundと同じ欠陥で、齿単字は dent の固定字、シダの固定字は羊齿。加えて正本には既に pterid=羊齿(Pteris)があり、綴りの近い pteridi との識別のためにも羊齿を保った上での修飾が必要。	雕羊齿 (agl=雕 + 羊齿。衝突なし、aglofilikoの鏡像を保ちつつ pterid=羊齿 とも区別できる)
pudel	卷毛犬	3_compound	犬の品種。巻き毛の犬=プードル。hund=犬	OK	留意: 3字だが前例603件あり。har=毛/hund=犬/卷(volv,friz,bukl)の忠実な鏡像。ただし同じ犬種のŝpic=犬(裸)と粒度が不揃い。	
regol	冠莺	3_compound	キクイタダキは頭頂の冠羽。冠+莺(silvi系小鳥)	OK		
reptili	爬虫	3_compound	爬虫類そのもの。sau^r=爬虫と同系	OK	留意: sau^r=爬虫が既存で完全重複。ただし両者はほぼ同義(集合名)で、本プロジェクトは重複表示を許容(菊51語根/葱5語根/贝2語根)。識別子で区別される前提なら可。	
rezed	桂草	3_compound	モクセイソウ=木犀草。桂(木犀)+草	OK	osmant=桂花(木犀)と対で木犀草を写す。桂単字は cinam/lau^r が既占だが2字なので衝突なし。	
rododendr	杜鹃	1_family	ツツジ属=杜鹃。azale(>>rododendro)と同表記	OK	azale=杜鹃と同形(語釈も相互参照)。kukol=鹃(カッコウ)は単字なので字列は別、衝突しない。	
rosmar	海象	3_compound	セイウチ=海象。鰭脚類、牙が象状	OK	良好。mar=海/elefant=象で海豹(fok)・海豚(delfen)・海参・海葵の系に整合。エス語同義marĉevaloの直訳(海马)はタツノオトシゴと衝突するため回避されており正しい。	
rotang	棕藤	3_compound	籐=つる性ヤシ。棕(palm)+藤(つる)	OK	palm/arek=棕、heder=藤。藤単字は heder が既占なので2字化は正当で、籐の実態(つる性ヤシ)とも一致。	
rubekol	红莺	3_compound	赤い喉のコマドリ。红+莺(najtingal=夜莺と同科)	OK		
s^enopraz	葱	1_family	ネギ属。cep/pore/aliumと同じ葱	OK		
saksifrag	石草	3_compound	ユキノシタ科。岩上に生える草(saxi=石)	OK		
salikari	柳草	3_compound	ミソハギ科。柳状葉(salicaria)の水辺の草	OK		
sandr	鱼	2_superordinate	ペルカ科。perk/labrakも鱼	OK		
santolin	菊	1_family	キク科ワタスギギク属。菊が科の既定字	OK		
semperviv	长生草	3_compound	ベンケイソウ科多肉。中国名长生草(semper=长生)	OK	【参考】同科krasul=厚叶なので科的一貫では厚叶系。ただし长生草はSempervivumの実在中国名で长(long)+生(nask/bio)と分解も通るため可。	
seneci	菊	1_family	キク科キオン属。菊が科の既定字	OK		
sepal	杯瓣	3_compound	萼片=kalik(杯)の片。petal=瓣に対応	OK	良好。kalik=杯/petal=瓣の正確な鏡像。korol=花冠/stamen=雄蕊とも整合。衝突なし。	
setari	粟	1_family	イネ科アワ属。粟=Setaria italica	OK	【参考】panic(キビ属)が既に裸粟を保持。粟=Setaria italicaが本来なので共有は許容(むしろ是正)だが、将来分別するならsetariが粟の本命でpanic側を動かす筋。	
sevrug	鱼	2_superordinate	ホシチョウザメ。sturgと同科で鱼	OK		
sikomor	桑榕	3_compound	クワ科イチジク属。イチジクグワ=桑+榕(fikus)	OK		
silf	气精	3_compound	四大精霊の空気の精。nimf/niks=精	OK		
silikv	角果	3_compound	アブラナ科の長角果。aken=瘦果と同型	OK		
sirfed	花蝇	3_compound	ハナアブ科=flormus^o(花蠅)	OK		
sisirinki	草	2_superordinate	アヤメ科の小草本。同科iksiも草	OK	【参考】アヤメ科に科字は存在しない(irid=花/iris=虹膜)。同科iksiも裸草なので家風どおり。	
skabioz	续草	3_compound	マツムシソウ科。同科dipsak=续断の草	OK	【参考】续の固定義はdaŭr/kontinuで、dipsak=续断を既知でないと解読不能。中国名蓝盆花は盆がパレット外、山萝卜は萝卜=大根の誤信号となるため续草が現実的最善。	
skarol	菊菜	3_compound	キク科の葉菜(広葉エンダイブ)。endivi=苦菜	NG	日本語の「菊菜」は春菊(Glebionis coronaria)の一般名。同じキク科の葉菜であるため誤同定リスクが極めて高い偽友。またskarolは語釈上larĝfolia endivio(endivi=苦菜の広葉変種)なのに、苦菜との親子関係が字面から消える。	大苦菜(grand=大が確定・未使用。endivi=苦菜の広葉変種として鏡像化。2字に収めたい場合でも菊菜は避け、苦菜系派生を推奨)
skink	石龙子	3_compound	トカゲ亜目スキンク科=中国名石龙子	NG	同一動物の別綴り語根 scink が既に 龙ˢ(エクスポート実測: scink/o=龙ˢ/o, scink/ed/oj=龙ˢ/科ᴱ)。skinkoとscinkoは同語の綴り異体であり、別表示にすると脳梁不整合になる。提案自身がalc^emil/alkemilに同一表示(羽衣草)を与えている原則と矛盾。なお龙はvaran/igvan/agam/akonti等トカゲ類の共通字。	龙(scink=龙ˢと同表示に統一し識別子で区別)。石龙子を採るなら scink 側も同時に 石龙子 へ揃えること。
skolopendr	百足	3_compound	多足類オオムカデ=百足(和名むかで)	OK	良好かつ体系的。cent=百でkilopod=千足(ムカデ綱)/miriapod=万足/diplopod=双足の既存シリーズに完全整合し、和名むかで(百足)とも一致。衝突なし。	
skorzoner	菊	1_family	キク科フタナミソウ属。菊が科の既定字	OK		
solidag	菊	1_family	キク科アキノキリンソウ属	OK		
spavin	马瘤	3_compound	馬の飛節に生じる骨瘤。veruk=瘤の系	OK	良好。ĉeval=马、veruk/tumor=瘤、gajl=树瘤と同型。生物でなく馬の疾患だが瘤系で正しく処理。	
spirant		4_none	本義は摩擦音。植物義はspirantes=兰が担う	OK	未対応が正解。spir=息が既に存在し spirant は spir+ant で描画される。植物義(ネジバナ)は別語根 spirantes=兰 が既に担当済み(マスター7514行)。追加割当は不要。	
spirogir	藻	1_family	緑藻アオミドロ。ulv/fuk等と同じ藻	OK	【参考】藻はalg/klorel/volvok/kombu等20語根が裸割当の家風で、属レベルでも裸藻が標準。分別したい場合のみ中国名水绵(水/绵ともパレット内・未使用)が候補。	
sprot	鱼	2_superordinate	ニシン科。klupe/sardinも鱼	OK		
stau^d	多草	3_compound	多年生植物=多年草。多(多年)+草	OK	【参考】年(jar=年)はパレット一覧外のため「多年草」にできず、多草はやや不透明(多=mult/plur/poli)。代替がないので現状可。	
sterled	鱼	2_superordinate	コチョウザメ。sturgと同科で鱼	OK		
stigm	柱头	3_compound	めしべの柱頭。stilus=花柱の先端	OK	【参考】kapitel(建築の柱頭)が既に柱头を保持しており完全重複。ただし同一比喩の同義語であり、脉(arteri/vejn/angi/vaskul等7件)・果(frukt/rezult/konsekvenc)と同水準の既存重複範囲内。stilus=花柱との柱共有も整合。	
stilus	花柱	3_compound	めしべの花柱。花+柱の標準名	OK		
stirak	香木	3_compound	エゴノキ科。安息香を採る芳香樹	OK	【参考】香木は総称的で他の芳香樹(santal等は裸木)と競合しうる。ただし安がパレット外で安息香が組めず、野茉莉も茉が外のため現実的な最善。	
taksus	红豆杉	3_compound	イチイ科の針葉樹。中国名红豆杉(杉系)	NG	豆はマメ科の固定字(fab/fazeol/vign等18語根が裸豆)であり、針葉樹の名の内部に埋め込むと形態素固定描画の原則に反して科の誤信号を出す。加えて3字で冗長。	红杉(abi=杉/pice=云杉/cug=铁杉のX+杉系列に完全整合。未使用。sekvoj=木なのでセコイアとの系内衝突もなし)
tamarik	河柳	3_compound	ギョリュウ科。河岸の柳状樹=柽柳/河柳	OK		
tanacet	菊	1_family	キク科ヨモギギク属(蓬菊)	OK		
tapir	鼻猪	3_compound	バク。長い鼻と豚状の体(delfen=海豚型)	OK	留意: 貘がパレット外のため代替。rostr=鼻/apr=猪で構成は透明。バクは奇蹄目で猪(偶蹄)と系統は遠いが、delfen=海豚と同じ形態鏡像の方式で許容範囲。	
tarantul	毒蛛	3_compound	コモリグモ科。arane=蛛に毒性を添える	OK	良好。arane=蛛(terafoz/argiop/opilion等と同群)。狼蛛の狼はパレット外のため毒が最善。衝突なし。	
tegument	被皮	3_compound	外被・種皮。derm=皮/ektoderm=外皮と区別	OK	留意: 被はpasiv/atという文法形態素の字(被=at)。被皮は「at+皮」とも読めるが、derm=皮/epiderm=表皮/ektoderm=外皮とは衝突せず、語義(外被)は透明。代案の盖はパレット外、种皮は植物義のみで劣る。現案維持で可。	
tink	鲤	1_family	テンチはコイ科。karp/karasと同じ鲤	OK	注意（不合格ではない）: 語釈が「コイ科」なので 鲤 は形式上成立するが、現行の 鲤 は karp/ciprin/karas のみで、他のコイ科(bram/idus/rutel/foksen/alburn=白鱼)は 鱼 に置かれている。plot を 鱼 に倒すなら tink も 鱼 に揃える選択肢がある。	
tremol	山杨	3_compound	ヤナギ科ポプラ属。ヤマナラシ=山杨	OK	【参考】同属popl(ポプラ属)は裸柳で、杨は現状buks=黄杨の内部にしか現れない。同属なのに字が繋がらない点は残る。trem=颤はパレット一覧外のため颤柳は不可、山柳は中国語でSalixとなるので山杨が最善。	
trikin	旋毛虫	3_compound	線虫センモウチュウ=旋毛虫そのもの	OK	良好。filari=丝虫/strongil=圆虫/askarid=回虫/teni=条虫の既存X虫シリーズに完全整合し、中国語正名とも一致。	
trikosant	瓜	1_family	ウリ科カラスウリ属。瓜が科の既定字	OK	【参考】瓜はmelon/kukurb/brioni/momordik等14語根が裸割当の家風で問題なし。分別したい場合のみ鸦瓜(烏瓜、未使用)が候補。	
tripanosom	锥虫	3_compound	寄生性鞭毛虫トリパノソーマ=中国名锥虫	OK	良好。中国語正名。锥はstrobil/paniklの円錐義で整合、衝突なし。	
tritur	水蛙	3_compound	イモリ科。salamandr=蛙、水生を示す	OK	留意: salamandr/ran/batrak/hil/aksolotl が全て蛙(裸)なので、水で水生イモリを差別化する構成は整合的。hidr/akv=水、水母/水牛/水仙の前例あり。有尾類である点は尾字でも表現可能だが現案で可。	
tropeol	金莲	3_compound	ノウゼンハレン科。金蓮花、蓮状の葉	OK		
tuberos	月香	3_compound	チューベロース=月下香。夜に強く香る	OK		
tusilag	菊	1_family	キク科フキタンポポ属	OK		
uleks	豆	1_family	マメ科ハリエニシダ属。豆が科の既定字	OK	【参考】豆はantilid/koronil/ononid等18語根が裸割当の家風で可。ハリを立てるなら刺豆(pik/dorn=刺、未使用)が候補。	
urogal	松鸡	3_compound	オオライチョウ=松鸡。松+鸡(tetr=琴鸡型)	OK		
vakcini	石南果	3_compound	ツツジ科(erik=石南)の液果=コケモモ属	OK		
valerian	草	2_superordinate	オミナエシ科。同科valerianel/nardostakiも草	OK	【参考】同科valerianel/nardostakiが裸草、オミナエシ科に科字なし。缬草の缬はパレット外。家風どおりで可。	
vanel	鸟	2_superordinate	タゲリはチドリ科。karadri/pluviも鸟	OK		
vertag	鼠犬	3_compound	=melhundo。mel=鼠+hund=犬の鏡像	OK	良好。mel=鼠(マスク実測)、hund=犬。melhundoの正確な鏡像。イタチ科=鼠はユーザー裁定済み方針とも一致。	
vistari	豆藤	3_compound	=visterio。マメ科フジ属のつる	OK	【参考】visteriと同一masterになるが、gajak/gvajak=愈疮木、kazuar/kasuar=鹤鸵、tragopog/tragopogon=菊と同じ異綴同義対の確立作法どおり。	
visteri	豆藤	3_compound	マメ科フジ属。豆(科)+藤(フジ)	OK		
vombat	袋熊	3_compound	有袋類ウォンバット=袋熊。袋=有袋字	OK	良好。marsupi/poŝ/sak=袋、urs=熊。kanguru/makrop=袋鼠の系で中国語正名と一致。	
zantoksil	山椒	3_compound	ミカン科サンショウ属=山椒。piper=椒	OK		
zebu	瘤牛	3_compound	コブウシ=瘤牛。bov=牛と同属	OK	良好。bov=牛、veruk=瘤。中国語正名。	
zini	菊	1_family	キク科ヒャクニチソウ属	OK		
zizel	黄鼠	3_compound	リス科ジリス属=中国名黄鼠。talp=地鼠回避	OK	良好。talp=地鼠/sciur=松鼠と衝突せず、Spermophilusの中国語正名(黄鼠)そのもの。	
