"root"	"kanji"	"id"	"id_super"	"disp"	"band"	"F"	"groupkey"
"ekstravaganc"	"怪"	"e"	"ᴱ"	"怪ᴱ"	"pejvo"	"4"	"怪"
"amator"	"好"	""	""	"好"	"basic"	"8"	"好"
"hobi"	"好"	"h"	"ᴴ"	"好ᴴ"	"basic"	"2"	"好"
"diletant"	"好"	"d"	"ᴰ"	"好ᴰ"	"pejvo"	"4"	"好"
"horizontal"	"横"	""	""	"横"	"basic"	"10"	"横"
"transvers"	"横"	"t"	"ᵀ"	"横ᵀ"	"pejvo"	"6"	"横"
"humur"	"谐"	""	""	"谐"	"basic"	"7"	"谐"
"harmoni"	"谐"	"hr"	"ᴴᴿ"	"谐ᴴᴿ"	"basic"	"8"	"谐"
"harmon"	"谐"	"ha"	"ᴴᴬ"	"谐ᴴᴬ"	"pejvo"	"12"	"谐"
"skerc"	"谐"	"s"	"ˢ"	"谐ˢ"	"pejvo"	"2"	"谐"
"burlesk"	"谐"	"b"	"ᴮ"	"谐ᴮ"	"pejvo"	"5"	"谐"
"impon"	"威"	""	""	"威"	"basic"	"6"	"威"
"ŝalt"	"开"	""	""	"开"	"basic"	"25"	"开"
"inaŭgur"	"开"	"i"	"ᴵ"	"开ᴵ"	"basic"	"5"	"开"
"apert"	"开"	"a"	"ᴬ"	"开ᴬ"	"pejvo"	"4"	"开"
"indeks"	"索"	""	""	"索"	"basic"	"4"	"索"
"rig"	"索"	"r"	"ᴿ"	"索ᴿ"	"pejvo"	"5"	"索"
"staj"	"索"	"s"	"ˢ"	"索ˢ"	"pejvo"	"4"	"索"
"funikl"	"索"	"f"	"ᶠ"	"索ᶠ"	"pejvo"	"2"	"索"
"indic"	"征"	""	""	"征"	"basic"	"18"	"征"
"intens"	"烈"	""	""	"烈"	"basic"	"28"	"烈"
"retro"	"逆"	""	""	"逆"	"pref"	"43"	"逆"
"spit"	"逆"	"s"	"ˢ"	"逆ˢ"	"basic"	"7"	"逆"
"invers"	"逆"	"i"	"ᴵ"	"逆ᴵ"	"basic"	"14"	"逆"
"jakt"	"艇"	""	""	"艇"	"basic"	"2"	"艇"
"jah^t"	"艇"	"jĥ"	"ᴶᴴ̂"	"艇ᴶᴴ̂"	"pejvo"	"2"	"艇"
"ŝpruc"	"喷"	""	""	"喷"	"basic"	"27"	"喷"
"jet"	"喷"	"j"	"ᴶ"	"喷ᴶ"	"basic"	"3"	"喷"
"tern"	"喷"	"t"	"ᵀ"	"喷ᵀ"	"basic"	"6"	"喷"
"erupci"	"喷"	"e"	"ᴱ"	"喷ᴱ"	"pejvo"	"4"	"喷"
"alaŭd"	"雀"	""	""	"雀"	"basic"	"6"	"雀"
"paser"	"雀"	"p"	"ᴾ"	"雀ᴾ"	"basic"	"5"	"雀"
"kanari"	"雀"	"k"	"ᴷ"	"雀ᴷ"	"basic"	"4"	"雀"
"pirol"	"雀"	"pr"	"ᴾᴿ"	"雀ᴾᴿ"	"pejvo"	"2"	"雀"
"emberiz"	"雀"	"e"	"ᴱ"	"雀ᴱ"	"pejvo"	"2"	"雀"
"kancer"	"癌"	""	""	"癌"	"basic"	"19"	"癌"
"karcinom"	"癌"	"kr"	"ᴷᴿ"	"癌ᴷᴿ"	"piv"	"2"	"癌"
"team"	"队"	""	""	"队"	"basic"	"10"	"队"
"karavan"	"队"	"k"	"ᴷ"	"队ᴷ"	"basic"	"6"	"队"
"rot"	"队"	"r"	"ᴿ"	"队ᴿ"	"pejvo"	"3"	"队"
"skip"	"队"	"s"	"ˢ"	"队ˢ"	"pejvo"	"4"	"队"
"band"	"队"	"b"	"ᴮ"	"队ᴮ"	"pejvo"	"2"	"队"
"skadr"	"队"	"sd"	"ˢᴰ"	"队ˢᴰ"	"pejvo"	"2"	"队"
"karbon"	"碳"	""	""	"碳"	"basic"	"33"	"碳"
"karbur"	"碳"	"kr"	"ᴷᴿ"	"碳ᴷᴿ"	"pejvo"	"5"	"碳"
"karcer"	"牢"	""	""	"牢"	"basic"	"8"	"牢"
"karier"	"涯"	""	""	"涯"	"basic"	"7"	"涯"
"karikatur"	"讽"	""	""	"讽"	"basic"	"4"	"讽"
"sarkasm"	"讽"	"s"	"ˢ"	"讽ˢ"	"pejvo"	"2"	"讽"
"katastrof"	"灾"	""	""	"灾"	"basic"	"6"	"灾"
"plag"	"灾"	"p"	"ᴾ"	"灾ᴾ"	"basic"	"2"	"灾"
"sinistr"	"灾"	"s"	"ˢ"	"灾ˢ"	"piv"	"3"	"灾"
"kaŭr"	"蹲"	""	""	"蹲"	"basic"	"3"	"蹲"
"klaĉ"	"谣"	""	""	"谣"	"basic"	"9"	"谣"
"klasifik"	"类"	""	""	"类"	"basic"	"6"	"类"
"kategori"	"类"	"kt"	"ᴷᵀ"	"类ᴷᵀ"	"basic"	"6"	"类"
"analogi"	"类"	"a"	"ᴬ"	"类ᴬ"	"pejvo"	"4"	"类"
"klav"	"键"	""	""	"键"	"basic"	"17"	"键"
"kod"	"码"	""	""	"码"	"basic"	"27"	"码"
"jard"	"码"	"j"	"ᴶ"	"码ᴶ"	"pejvo"	"2"	"码"
"kolbas"	"肠"	""	""	"肠"	"basic"	"11"	"肠"
"intest"	"肠"	"i"	"ᴵ"	"肠ᴵ"	"basic"	"10"	"肠"
"enter"	"肠"	"e"	"ᴱ"	"肠ᴱ"	"pejvo"	"11"	"肠"
"ile"	"肠"	"il"	"ᴵᴸ"	"肠ᴵᴸ"	"pejvo"	"1"	"肠"
"koloni"	"殖"	""	""	"殖"	"basic"	"18"	"殖"
"prolifer"	"殖"	"p"	"ᴾ"	"殖ᴾ"	"piv"	"3"	"殖"
"kondolenc"	"哀"	""	""	"哀"	"basic"	"4"	"哀"
"ve"	"哀"	"v"	"ⱽ"	"哀ⱽ"	"pejvo"	"11"	"哀"
"lament"	"哀"	"l"	"ᴸ"	"哀ᴸ"	"pejvo"	"6"	"哀"
"impuls"	"冲"	""	""	"冲"	"basic"	"11"	"冲"
"konflikt"	"冲"	"k"	"ᴷ"	"冲ᴷ"	"basic"	"12"	"冲"
"elan"	"冲"	"e"	"ᴱ"	"冲ᴱ"	"piv"	"2"	"冲"
"spurt"	"冲"	"s"	"ˢ"	"冲ˢ"	"piv"	"3"	"冲"
"sprint"	"冲"	"sn"	"ˢᴺ"	"冲ˢᴺ"	"piv"	"2"	"冲"
"kombin"	"合"	""	""	"合"	"basic"	"19"	"合"
"konform"	"合"	"kn"	"ᴷᴺ"	"合ᴷᴺ"	"basic"	"21"	"合"
"kluc^"	"合"	"kl"	"ᴷᴸ"	"合ᴷᴸ"	"pejvo"	"14"	"合"
"sintez"	"合"	"s"	"ˢ"	"合ˢ"	"pejvo"	"15"	"合"
"kongru"	"合"	"kg"	"ᴷᴳ"	"合ᴷᴳ"	"pejvo"	"6"	"合"
"konjunkci"	"合"	"kj"	"ᴷᴶ"	"合ᴷᴶ"	"pejvo"	"4"	"合"
"konk"	"贝"	""	""	"贝"	"basic"	"16"	"贝"
"folad"	"贝"	"f"	"ᶠ"	"贝ᶠ"	"pejvo"	"1"	"贝"
"pina"	"贝"	"p"	"ᴾ"	"贝ᴾ"	"piv"	"1"	"贝"
"dorid"	"贝"	"d"	"ᴰ"	"贝ᴰ"	"piv"	"1"	"贝"
"limne"	"贝"	"l"	"ᴸ"	"贝ᴸ"	"piv"	"1"	"贝"
"tered"	"贝"	"t"	"ᵀ"	"贝ᵀ"	"piv"	"1"	"贝"
"eledon"	"贝"	"e"	"ᴱ"	"贝ᴱ"	"piv"	"1"	"贝"
"gujdak"	"贝"	"g"	"ᴳ"	"贝ᴳ"	"piv"	"1"	"贝"
"mureks"	"贝"	"m"	"ᴹ"	"贝ᴹ"	"piv"	"1"	"贝"
"panope"	"贝"	"pp"	"ᴾᴾ"	"贝ᴾᴾ"	"piv"	"1"	"贝"
"anodont"	"贝"	"a"	"ᴬ"	"贝ᴬ"	"piv"	"1"	"贝"
"pinktad"	"贝"	"pk"	"ᴾᴷ"	"贝ᴾᴷ"	"piv"	"1"	"贝"
"tridakn"	"贝"	"tk"	"ᵀᴷ"	"贝ᵀᴷ"	"piv"	"1"	"贝"
"arkiteu^t"	"贝"	"ar"	"ᴬᴿ"	"贝ᴬᴿ"	"piv"	"1"	"贝"
"testacel"	"贝"	"ts"	"ᵀˢ"	"贝ᵀˢ"	"piv"	"1"	"贝"
"asist"	"辅"	""	""	"辅"	"basic"	"7"	"辅"
"konsonant"	"辅"	"k"	"ᴷ"	"辅ᴷ"	"basic"	"4"	"辅"
"konsult"	"询"	""	""	"询"	"basic"	"14"	"询"
"kontinent"	"陆"	""	""	"陆"	"basic"	"11"	"陆"
"kontribu"	"贡"	""	""	"贡"	"basic"	"5"	"贡"
"tribut"	"贡"	"t"	"ᵀ"	"贡ᵀ"	"pejvo"	"3"	"贡"
"kooperativ"	"协"	""	""	"协"	"basic"	"6"	"协"
"kooper"	"协"	"ko"	"ᴷᴼ"	"协ᴷᴼ"	"pejvo"	"8"	"协"
"krab"	"蟹"	""	""	"蟹"	"basic"	"3"	"蟹"
"pagur"	"蟹"	"p"	"ᴾ"	"蟹ᴾ"	"pejvo"	"1"	"蟹"
"limul"	"蟹"	"l"	"ᴸ"	"蟹ᴸ"	"pejvo"	"1"	"蟹"
"kramp"	"夹"	""	""	"夹"	"basic"	"11"	"夹"
"sandviĉ"	"夹"	"s"	"ˢ"	"夹ˢ"	"basic"	"7"	"夹"
"klem"	"夹"	"kl"	"ᴷᴸ"	"夹ᴷᴸ"	"pejvo"	"3"	"夹"
"klip"	"夹"	"kp"	"ᴷᴾ"	"夹ᴷᴾ"	"pejvo"	"2"	"夹"
"ŝveb"	"翔"	""	""	"翔"	"basic"	"10"	"翔"
"tabu"	"禁"	""	""	"禁"	"basic"	"6"	"禁"
"embarg"	"禁"	"e"	"ᴱ"	"禁ᴱ"	"pejvo"	"2"	"禁"
"prohibici"	"禁"	"p"	"ᴾ"	"禁ᴾ"	"pejvo"	"3"	"禁"
"tajd"	"潮"	""	""	"潮"	"basic"	"13"	"潮"
"taktik"	"术"	""	""	"术"	"basic"	"3"	"术"
"tambur"	"鼓"	""	""	"鼓"	"basic"	"12"	"鼓"
"aplaŭd"	"鼓"	"a"	"ᴬ"	"鼓ᴬ"	"basic"	"5"	"鼓"
"timbal"	"鼓"	"tl"	"ᵀᴸ"	"鼓ᵀᴸ"	"pejvo"	"2"	"鼓"
"templ"	"庙"	""	""	"庙"	"basic"	"9"	"庙"
"testament"	"嘱"	""	""	"嘱"	"basic"	"7"	"嘱"
"tropik"	"热带"	""	""	"热带"	"basic"	"22"	"热带"
"tulip"	"郁"	""	""	"郁"	"basic"	"2"	"郁"
"splen"	"郁"	"s"	"ˢ"	"郁ˢ"	"pejvo"	"2"	"郁"
"melankoli"	"郁"	"m"	"ᴹ"	"郁ᴹ"	"pejvo"	"3"	"郁"
"kosm"	"宇"	""	""	"宇"	"basic"	"21"	"宇"
"univers"	"宇"	"u"	"ᵁ"	"宇ᵁ"	"basic"	"3"	"宇"
"urin"	"尿"	""	""	"尿"	"basic"	"18"	"尿"
"pis"	"尿"	"p"	"ᴾ"	"尿ᴾ"	"pejvo"	"7"	"尿"
"uro"	"尿"	"uo"	"ᵁᴼ"	"尿ᵁᴼ"	"piv"	"3"	"尿"
"valut"	"币"	""	""	"币"	"basic"	"9"	"币"
"varb"	"募"	""	""	"募"	"basic"	"7"	"募"
"kvest"	"募"	"k"	"ᴷ"	"募ᴷ"	"piv"	"3"	"募"
"veget"	"茂"	""	""	"茂"	"basic"	"18"	"茂"
"vertikal"	"竖"	""	""	"竖"	"basic"	"8"	"竖"
"veteran"	"老"	""	""	"老"	"basic"	"2"	"老"
"senil"	"老"	"s"	"ˢ"	"老ˢ"	"pejvo"	"4"	"老"
"vokal"	"元"	""	""	"元"	"basic"	"5"	"元"
"vokoid"	"元"	"vd"	"ⱽᴰ"	"元ⱽᴰ"	"piv"	"2"	"元"
"absurd"	"谬"	""	""	"谬"	"basic"	"7"	"谬"
"ador"	"拜"	""	""	"拜"	"basic"	"11"	"拜"
"kult"	"拜"	"k"	"ᴷ"	"拜ᴷ"	"basic"	"10"	"拜"
"riverenc"	"拜"	"r"	"ᴿ"	"拜ᴿ"	"basic"	"2"	"拜"
"pilgrim"	"拜"	"p"	"ᴾ"	"拜ᴾ"	"pejvo"	"9"	"拜"
"adverb"	"副"	""	""	"副"	"basic"	"1"	"副"
"akcesor"	"副"	"ak"	"ᴬᴷ"	"副ᴬᴷ"	"pejvo"	"5"	"副"
"aflikt"	"悲"	""	""	"悲"	"basic"	"4"	"悲"
"tragedi"	"悲"	"t"	"ᵀ"	"悲ᵀ"	"basic"	"4"	"悲"
"tragik"	"悲"	"tk"	"ᵀᴷ"	"悲ᵀᴷ"	"basic"	"3"	"悲"
"pesim"	"悲"	"p"	"ᴾ"	"悲ᴾ"	"pejvo"	"3"	"悲"
"trist"	"悲"	"ts"	"ᵀˢ"	"悲ᵀˢ"	"pejvo"	"3"	"悲"
"ajl"	"蒜"	""	""	"蒜"	"basic"	"11"	"蒜"
"akt"	"幕"	""	""	"幕"	"basic"	"10"	"幕"
"kulis"	"幕"	"k"	"ᴷ"	"幕ᴷ"	"pejvo"	"3"	"幕"
"alud"	"暗"	""	""	"暗"	"basic"	"4"	"暗"
"obskur"	"暗"	"o"	"ᴼ"	"暗ᴼ"	"pejvo"	"8"	"暗"
"tenebr"	"暗"	"t"	"ᵀ"	"暗ᵀ"	"piv"	"2"	"暗"
"anekdot"	"闻"	""	""	"闻"	"basic"	"2"	"闻"
"arbitr"	"擅"	""	""	"擅"	"basic"	"5"	"擅"
"asert"	"断"	""	""	"断"	"basic"	"3"	"断"
"intermit"	"断"	"i"	"ᴵ"	"断ᴵ"	"pejvo"	"9"	"断"
"bagatel"	"琐"	""	""	"琐"	"basic"	"4"	"琐"
"balbut"	"结巴"	""	""	"结巴"	"basic"	"5"	"结巴"
"bambu"	"竹"	""	""	"竹"	"basic"	"9"	"竹"
"banan"	"蕉"	""	""	"蕉"	"basic"	"4"	"蕉"
"tint"	"鸣"	""	""	"鸣"	"basic"	"12"	"鸣"
"blek"	"鸣"	"b"	"ᴮ"	"鸣ᴮ"	"basic"	"8"	"鸣"
"pep"	"鸣"	"p"	"ᴾ"	"鸣ᴾ"	"pejvo"	"4"	"鸣"
"hup"	"鸣"	"h"	"ᴴ"	"鸣ᴴ"	"pejvo"	"3"	"鸣"
"c^irp"	"鸣"	"ĉ"	"ᶜ̂"	"鸣ᶜ̂"	"pejvo"	"2"	"鸣"
"kvivit"	"鸣"	"k"	"ᴷ"	"鸣ᴷ"	"piv"	"2"	"鸣"
"buĝet"	"预算"	""	""	"预算"	"basic"	"10"	"预算"
"ĝerm"	"芽"	""	""	"芽"	"basic"	"11"	"芽"
"burĝon"	"芽"	"b"	"ᴮ"	"芽ᴮ"	"basic"	"8"	"芽"
"s^os"	"芽"	"ŝ"	"ˢ̂"	"芽ˢ̂"	"pejvo"	"6"	"芽"
"spros"	"芽"	"s"	"ˢ"	"芽ˢ"	"pejvo"	"2"	"芽"
"ĉel"	"胞"	""	""	"胞"	"basic"	"47"	"胞"
"celul"	"胞"	"c"	"ᶜ"	"胞ᶜ"	"pejvo"	"2"	"胞"
"cito"	"胞"	"ct"	"ᶜᵀ"	"胞ᶜᵀ"	"piv"	"6"	"胞"
"citoz"	"胞"	"cz"	"ᶜᶻ"	"胞ᶜᶻ"	"piv"	"5"	"胞"
"cep"	"葱"	""	""	"葱"	"basic"	"4"	"葱"
"cerv"	"鹿"	""	""	"鹿"	"basic"	"18"	"鹿"
"dama"	"鹿"	"d"	"ᴰ"	"鹿ᴰ"	"pejvo"	"3"	"鹿"
"kapreol"	"鹿"	"k"	"ᴷ"	"鹿ᴷ"	"pejvo"	"3"	"鹿"
"tragol"	"鹿"	"t"	"ᵀ"	"鹿ᵀ"	"piv"	"1"	"鹿"
"cign"	"天鹅"	""	""	"天鹅"	"basic"	"4"	"天鹅"
"cirkuler"	"函"	""	""	"函"	"basic"	"2"	"函"
"deĵor"	"当"	""	""	"当"	"basic"	"13"	"当"
"lombard"	"当"	"l"	"ᴸ"	"当ᴸ"	"pejvo"	"9"	"当"
"deput"	"派"	""	""	"派"	"basic"	"8"	"派"
"sekt"	"派"	"s"	"ˢ"	"派ˢ"	"pejvo"	"6"	"派"
"deriv"	"派"	"dr"	"ᴰᴿ"	"派ᴰᴿ"	"pejvo"	"13"	"派"
"skol"	"派"	"sl"	"ˢᴸ"	"派ˢᴸ"	"pejvo"	"4"	"派"
"konfesi"	"派"	"k"	"ᴷ"	"派ᴷ"	"pejvo"	"2"	"派"
"digest"	"消"	""	""	"消"	"basic"	"18"	"消"
"dimensi"	"维"	""	""	"维"	"basic"	"6"	"维"
"eĥ"	"回"	""	""	"回"	"basic"	"13"	"回"
"ekran"	"屏"	""	""	"屏"	"basic"	"16"	"屏"
"ekspluat"	"采"	""	""	"采"	"basic"	"13"	"采"
"ekzakt"	"精"	""	""	"精"	"basic"	"7"	"精"
"fajn"	"精"	"f"	"ᶠ"	"精ᶠ"	"pejvo"	"9"	"精"
"rafin"	"精"	"r"	"ᴿ"	"精ᴿ"	"pejvo"	"13"	"精"
"nimf"	"精"	"n"	"ᴺ"	"精ᴺ"	"pejvo"	"3"	"精"
"niks"	"精"	"nk"	"ᴺᴷ"	"精ᴺᴷ"	"pejvo"	"2"	"精"
"spermat"	"精"	"s"	"ˢ"	"精ˢ"	"piv"	"2"	"精"
"spermati"	"精"	"si"	"ˢᴵ"	"精ˢᴵ"	"piv"	"2"	"精"
"emerit"	"退"	""	""	"退"	"basic"	"7"	"退"
"regres"	"退"	"r"	"ᴿ"	"退ᴿ"	"pejvo"	"4"	"退"
"degener"	"退"	"d"	"ᴰ"	"退ᴰ"	"pejvo"	"7"	"退"
"retret"	"退"	"rt"	"ᴿᵀ"	"退ᴿᵀ"	"pejvo"	"2"	"退"
"dekadenc"	"退"	"dk"	"ᴰᴷ"	"退ᴰᴷ"	"pejvo"	"4"	"退"
"fab"	"豆"	""	""	"豆"	"basic"	"9"	"豆"
"fazeol"	"豆"	"fz"	"ᶠᶻ"	"豆ᶠᶻ"	"basic"	"3"	"豆"
"legumen"	"豆"	"l"	"ᴸ"	"豆ᴸ"	"pejvo"	"1"	"豆"
"krizantem"	"菊"	""	""	"菊"	"basic"	"5"	"菊"
"aster"	"菊"	"a"	"ᴬ"	"菊ᴬ"	"pejvo"	"1"	"菊"
"lekant"	"菊"	"l"	"ᴸ"	"菊ᴸ"	"pejvo"	"1"	"菊"
"kompozit"	"菊"	"km"	"ᴷᴹ"	"菊ᴷᴹ"	"pejvo"	"2"	"菊"
"kverel"	"吵"	""	""	"吵"	"basic"	"3"	"吵"
"lanc"	"矛"	""	""	"矛"	"basic"	"8"	"矛"
"halebard"	"矛"	"h"	"ᴴ"	"矛ᴴ"	"pejvo"	"2"	"矛"
"lanĉ"	"发"	""	""	"发"	"basic"	"9"	"发"
"emisi"	"发"	"e"	"ᴱ"	"发ᴱ"	"pejvo"	"4"	"发"
"tali"	"腰"	""	""	"腰"	"basic"	"9"	"腰"
"lumb"	"腰"	"l"	"ᴸ"	"腰ᴸ"	"basic"	"5"	"腰"
"magnet"	"磁"	""	""	"磁"	"basic"	"66"	"磁"
"magnetofon"	"磁"	"mf"	"ᴹᶠ"	"磁ᴹᶠ"	"basic"	"0"	"磁"
"manuskript"	"稿"	""	""	"稿"	"basic"	"2"	"稿"
"masaĝ"	"摩"	""	""	"摩"	"basic"	"3"	"摩"
"matĉ"	"赛"	""	""	"赛"	"basic"	"2"	"赛"
"turnir"	"赛"	"t"	"ᵀ"	"赛ᵀ"	"pejvo"	"5"	"赛"
"medi"	"境"	""	""	"境"	"basic"	"51"	"境"
"eko"	"境"	"e"	"ᴱ"	"境ᴱ"	"pejvo"	"13"	"境"
"mejl"	"里"	""	""	"里"	"basic"	"3"	"里"
"mev"	"鸥"	""	""	"鸥"	"basic"	"3"	"鸥"
"lar"	"鸥"	"l"	"ᴸ"	"鸥ᴸ"	"pejvo"	"3"	"鸥"
"miaŭ"	"咪"	""	""	"咪"	"basic"	"3"	"咪"
"monopol"	"垄"	""	""	"垄"	"basic"	"11"	"垄"
"motiv"	"由"	""	""	"由"	"basic"	"11"	"由"
"mustard"	"芥"	""	""	"芥"	"basic"	"4"	"芥"
"sinap"	"芥"	"s"	"ˢ"	"芥ˢ"	"pejvo"	"3"	"芥"
"negativ"	"否"	""	""	"否"	"basic"	"21"	"否"
"veto"	"否"	"v"	"ⱽ"	"否ⱽ"	"pejvo"	"2"	"否"
"neg"	"否"	"ne"	"ᴺᴱ"	"否ᴺᴱ"	"piv"	"3"	"否"
"norm"	"范"	""	""	"范"	"basic"	"32"	"范"
"mikro"	"微"	""	""	"微"	"pref"	"50"	"微"
"nuanc"	"微"	"n"	"ᴺ"	"微ᴺ"	"basic"	"3"	"微"
"liliput"	"微"	"l"	"ᴸ"	"微ᴸ"	"pejvo"	"3"	"微"
"infinitezim"	"微"	"i"	"ᴵ"	"微ᴵ"	"pejvo"	"3"	"微"
"kern"	"核"	""	""	"核"	"basic"	"29"	"核"
"nukle"	"核"	"n"	"ᴺ"	"核ᴺ"	"basic"	"44"	"核"
"panic"	"粟"	""	""	"粟"	"basic"	"2"	"粟"
"mili"	"粟"	"m"	"ᴹ"	"粟ᴹ"	"pejvo"	"6"	"粟"
"panik"	"慌"	""	""	"慌"	"basic"	"5"	"慌"
"paradoks"	"悖"	""	""	"悖"	"basic"	"3"	"悖"
"paralel"	"并"	""	""	"并"	"basic"	"18"	"并"
"aneks"	"并"	"a"	"ᴬ"	"并ᴬ"	"pejvo"	"5"	"并"
"parentez"	"括"	""	""	"括"	"basic"	"3"	"括"
"at"	"被"	""	""	"被"	"suf"	"232"	"被"
"pasiv"	"被"	"p"	"ᴾ"	"被ᴾ"	"basic"	"6"	"被"
"pelv"	"盆"	""	""	"盆"	"basic"	"7"	"盆"
"basen"	"盆"	"b"	"ᴮ"	"盆ᴮ"	"pejvo"	"5"	"盆"
"pension"	"宿"	""	""	"宿"	"basic"	"3"	"宿"
"piknik"	"野餐"	""	""	"野餐"	"basic"	"2"	"野餐"
"pilol"	"丸"	""	""	"丸"	"basic"	"3"	"丸"
"testik"	"丸"	"t"	"ᵀ"	"丸ᵀ"	"pejvo"	"6"	"丸"
"podi"	"台"	""	""	"台"	"basic"	"7"	"台"
"teras"	"台"	"t"	"ᵀ"	"台ᵀ"	"basic"	"3"	"台"
"peron"	"台"	"pr"	"ᴾᴿ"	"台ᴾᴿ"	"basic"	"1"	"台"
"bufed"	"台"	"b"	"ᴮ"	"台ᴮ"	"pejvo"	"5"	"台"
"konzol"	"台"	"k"	"ᴷ"	"台ᴷ"	"pejvo"	"2"	"台"
"sufiks"	"缀"	""	""	"缀"	"basic"	"5"	"缀"
"prefiks"	"缀"	"p"	"ᴾ"	"缀ᴾ"	"basic"	"3"	"缀"
"tradici"	"统"	""	""	"统"	"basic"	"6"	"统"
"prezident"	"统"	"p"	"ᴾ"	"统ᴾ"	"basic"	"6"	"统"
"provizor"	"暂"	""	""	"暂"	"basic"	"7"	"暂"
"purpur"	"紫"	""	""	"紫"	"basic"	"6"	"紫"
"stab"	"参"	""	""	"参"	"basic"	"7"	"参"
"referenc"	"参"	"r"	"ᴿ"	"参ᴿ"	"basic"	"6"	"参"
"refut"	"驳"	""	""	"驳"	"basic"	"4"	"驳"
"barg^"	"驳"	"b"	"ᴮ"	"驳ᴮ"	"pejvo"	"2"	"驳"
"replik"	"驳"	"rp"	"ᴿᴾ"	"驳ᴿᴾ"	"pejvo"	"3"	"驳"
"respektiv"	"各"	""	""	"各"	"basic"	"2"	"各"
"rub"	"废"	""	""	"废"	"basic"	"22"	"废"
"ruin"	"废"	"rn"	"ᴿᴺ"	"废ᴿᴺ"	"basic"	"13"	"废"
"abol"	"废"	"a"	"ᴬ"	"废ᴬ"	"pejvo"	"3"	"废"
"abolici"	"废"	"ac"	"ᴬᶜ"	"废ᴬᶜ"	"pejvo"	"3"	"废"
"abrog"	"废"	"ar"	"ᴬᴿ"	"废ᴬᴿ"	"piv"	"2"	"废"
"kolumn"	"栏"	""	""	"栏"	"basic"	"2"	"栏"
"rubrik"	"栏"	"r"	"ᴿ"	"栏ᴿ"	"basic"	"1"	"栏"
"barier"	"栏"	"b"	"ᴮ"	"栏ᴮ"	"pejvo"	"4"	"栏"
"ŝak"	"棋"	""	""	"棋"	"basic"	"19"	"棋"
"ŝampu"	"沐"	""	""	"沐"	"basic"	"2"	"沐"
"ŝark"	"鲨"	""	""	"鲨"	"basic"	"5"	"鲨"
"diet"	"节"	""	""	"节"	"basic"	"10"	"节"
"silab"	"节"	"s"	"ˢ"	"节ˢ"	"basic"	"23"	"节"
"artik"	"节"	"a"	"ᴬ"	"节ᴬ"	"basic"	"19"	"节"
"strof"	"节"	"st"	"ˢᵀ"	"节ˢᵀ"	"basic"	"3"	"节"
"artr"	"节"	"ar"	"ᴬᴿ"	"节ᴬᴿ"	"pejvo"	"9"	"节"
"gangli"	"节"	"g"	"ᴳ"	"节ᴳ"	"pejvo"	"3"	"节"
"dietik"	"节"	"dk"	"ᴰᴷ"	"节ᴰᴷ"	"piv"	"2"	"节"
"skandal"	"丑"	""	""	"丑"	"basic"	"5"	"丑"
"klau^n"	"丑"	"k"	"ᴷ"	"丑ᴷ"	"pejvo"	"3"	"丑"
"pajac"	"丑"	"p"	"ᴾ"	"丑ᴾ"	"pejvo"	"2"	"丑"
"arleken"	"丑"	"a"	"ᴬ"	"丑ᴬ"	"pejvo"	"3"	"丑"
"pulc^inel"	"丑"	"pl"	"ᴾᴸ"	"丑ᴾᴸ"	"pejvo"	"2"	"丑"
"histrion"	"丑"	"h"	"ᴴ"	"丑ᴴ"	"pejvo"	"2"	"丑"
"ŝok"	"震"	""	""	"震"	"basic"	"9"	"震"
"sism"	"震"	"s"	"ˢ"	"震ˢ"	"pejvo"	"3"	"震"
"seism"	"震"	"se"	"ˢᴱ"	"震ˢᴱ"	"piv"	"6"	"震"
"stabil"	"稳"	""	""	"稳"	"basic"	"15"	"稳"
"aplomb"	"稳"	"a"	"ᴬ"	"稳ᴬ"	"pejvo"	"2"	"稳"
"statistik"	"计"	""	""	"计"	"basic"	"9"	"计"
"termometr"	"计"	"t"	"ᵀ"	"计ᵀ"	"basic"	"0"	"计"
"ŝtorm"	"暴"	""	""	"暴"	"basic"	"11"	"暴"
"tiran"	"暴"	"t"	"ᵀ"	"暴ᵀ"	"pejvo"	"8"	"暴"
"violent"	"暴"	"v"	"ⱽ"	"暴ⱽ"	"pejvo"	"5"	"暴"
"brutal"	"暴"	"b"	"ᴮ"	"暴ᴮ"	"piv"	"4"	"暴"
"superstiĉ"	"迷"	""	""	"迷"	"basic"	"2"	"迷"
"zelot"	"迷"	"z"	"ᶻ"	"迷ᶻ"	"pejvo"	"2"	"迷"
"mat"	"席"	""	""	"席"	"basic"	"11"	"席"
"matematik"	"数学"	""	""	"数学"	"basic"	"5"	"数学"
"melon"	"瓜"	""	""	"瓜"	"basic"	"5"	"瓜"
"kukum"	"瓜"	"k"	"ᴷ"	"瓜ᴷ"	"basic"	"3"	"瓜"
"kukurb"	"瓜"	"kr"	"ᴷᴿ"	"瓜ᴷᴿ"	"basic"	"9"	"瓜"
"miel"	"蜜"	""	""	"蜜"	"basic"	"9"	"蜜"
"nektar"	"蜜"	"n"	"ᴺ"	"蜜ᴺ"	"pejvo"	"3"	"蜜"
"minimum"	"最小"	""	""	"最小"	"basic"	"8"	"最小"
"monument"	"碑"	""	""	"碑"	"basic"	"4"	"碑"
"musk"	"苔"	""	""	"苔"	"basic"	"5"	"苔"
