"root","k","id","P","band","F","gsize"
"kord","弦","","-2.183","basic","16","1"
"pure","泥","p","-0.736","pejvo","3","3"
"kot","泥","","-1.877","basic","12","3"
"s^lim","泥","s^","-1.915","pejvo","12","3"
"krad","栅","","-2.278","basic","20","2"
"hurd","栅","h","-0.619","pejvo","3","2"
"kran","栓","","-1.423","basic","9","4"
"dubel","栓","d","-0.249","piv","2","4"
"embol","栓","e","-0.536","pejvo","3","4"
"bolt","栓","b","-1.199","pejvo","7","4"
"kret","白石","","-1.066","basic","6","1"
"kruel","残","","-1.752","basic","11","2"
"kripl","残","kp","-1.213","basic","6","2"
"krut","陡","","-1.631","basic","10","2"
"abrupt","陡","a","-0.91","basic","4","2"
"kubut","肘","","-1.124","basic","4","1"
"kupr","铜","","-1.842","basic","16","1"
"kurten","帘","","-2.133","basic","14","1"
"glan","橡","g","-0.372","pejvo","5","2"
"kverk","橡","","-0.797","basic","8","2"
"lek","舔","","-0.744","basic","7","1"
"trapez","梯","t","-0.673","pejvo","4","3"
"eskal","梯","e","-0.423","pejvo","3","3"
"lift","梯","","-0.801","basic","5","3"
"lup","狼","","-1.393","basic","9","1"
"maĉ","嚼","","-0.61","basic","12","1"
"marĉ","沼","","-2.24","basic","17","1"
"migr","迁","","-3.184","basic","35","2"
"emigr","迁","e","-0.749","piv","2","2"
"miliard","十亿","","-1.019","num","2","1"
"min","矿","","-3.097","basic","43","4"
"erc","矿","e","-2.085","pejvo","15","4"
"mineral","矿","mr","-1.765","basic","9","4"
"minera","矿","mn","-0.524","pejvo","2","4"
"s^ablon","模","s^","-0.52","pejvo","5","2"
"model","模","","-1.415","basic","14","2"
"moskit","蚊","","-0.972","basic","5","2"
"kul","蚊","k","-0.189","pejvo","2","2"
"vizon","鼠","v","0.086","pejvo","2","9"
"ermen","鼠","e","-0.202","pejvo","3","9"
"mefit","鼠","mf","0.086","pejvo","2","9"
"zibel","鼠","z","0.086","pejvo","2","9"
"mustel","鼠","mt","-0.785","pejvo","6","9"
"mus","鼠","","-1.542","basic","15","9"
"rat","鼠","r","-0.715","basic","6","9"
"mel","鼠","ml","0.132","pejvo","2","9"
"putor","鼠","p","0.086","pejvo","2","9"
"muskol","筋","","-1.783","basic","16","2"
"tenden","筋","t","-0.742","pejvo","5","2"
"naiv","朴","","-1.68","basic","7","2"
"rustik","朴","r","-0.799","piv","2","2"
"naŭz","呕","","-1.081","basic","4","1"
"nerv","神经","","-1.506","basic","22","2"
"neŭr","神经","nŭ","-1.415","sci","20","2"
"nobl","贵","","-1.872","basic","13","4"
"aristokrat","贵","a","-1.043","pejvo","4","4"
"patrici","贵","p","-0.432","pejvo","2","4"
"nobel","贵","nb","-1.665","pejvo","10","4"
"observ","观","","-2.590","basic","17","3"
"spekt","观","s","-2.358","pejvo","14","3"
"ideologi","观","i","0.2","basic","0","3"
"umbel","伞","u","-0.749","pejvo","2","3"
"ombrel","伞","","-1.492","basic","5","3"
"paraŝut","伞","p","-1.947","basic","8","3"
"uter","宫","u","-2.066","pejvo","16","2"
"palac","宫","","-1.346","basic","7","2"
"pent","悔","","-1.685","basic","12","2"
"rimors","悔","r","-0.279","piv","2","2"
"pinĉ","掐","","-1.782","basic","15","1"
"pir","梨","","-2.117","basic","22","1"
"plumb","铅","","-2.241","basic","21","1"
"posten","岗","","-2.042","basic","11","1"
"situ","位","","-0.57","basic","2","4"
"apozici","位","a","-0.699","pejvo","2","4"
"pozici","位","p","-1.503","basic","6","4"
"bit","位","b","-1.994","pejvo","12","4"
"pretekst","借口","","-0.271","basic","3","1"
"simetri","称","s","-1.289","pejvo","7","3"
"pretend","称","","-1.407","basic","8","3"
"kvalifik","称","k","-1.186","pejvo","6","3"
"probabl","概","","-1.059","basic","8","6"
"resum","概","r","0.491","basic","1","6"
"sinoptik","概","s","-0.494","pejvo","4","6"
"noci","概","n","0.109","pejvo","2","6"
"kompendi","概","km","0.017","pejvo","2","6"
"koncept","概","k","-0.941","basic","7","6"
"procez","程","pz","-0.896","pejvo","6","4"
"program","程","","-2.612","basic","37","4"
"procedur","程","pd","-1.08","pejvo","7","4"
"proces","程","pc","-1.147","basic","8","4"
"prokrast","延","","-2.508","basic","14","1"
"proz","散文","","-0.267","basic","5","1"
"pulm","肺","","-2.123","basic","15","2"
"pneu^mon","肺","pn","-1.542","pejvo","7","2"
"pulv","火药","","-0.738","basic","6","1"
"pump","泵","","-2.229","basic","19","1"
"seps","腐","s","-1.458","pejvo","15","3"
"putr","腐","","-1.394","basic","14","3"
"sapr","腐","sr","-0.765","piv","7","3"
"kotlet","排","kl","-0.673","pejvo","4","4"
"ekskluziv","排","","-1.63","basic","11","4"
"kompost","排","k","-1.73","pejvo","13","4"
"dren","排","d","-1.206","pejvo","8","4"
"enket","查","","-1.665","basic","10","1"
"metamer","段","m","-0.432","piv","2","4"
"etap","段","","-0.332","basic","2","4"
"epizod","段","ez","-0.686","basic","3","4"
"segment","段","s","-1.125","pejvo","5","4"
"etik","伦","","-1.21","basic","4","1"
"faktur","账","f","-0.811","basic","3","2"
"kont","账","","-2.608","basic","25","2"
"fantom","幽","","-1.38","basic","7","1"
"fekund","肥","","-1.91","basic","11","1"
"femur","股","f","-1.585","basic","8","3"
"koks","股","","-1.547","basic","8","3"
"akci","股","a","-1.429","basic","7","3"
"fiask","败","","-0.486","basic","2","2"
"defet","败","d","-0.774","piv","3","2"
"filozof","哲","fl","-0.309","pejvo","2","2"
"filozofi","哲","","-0.849","basic","4","2"
"filtr","滤","","-1.588","basic","15","1"
"versi","版","","-1.467","basic","7","2"
"format","版","f","-1.99","basic","12","2"
"altar","坛","a","-1.306","pejvo","5","2"
"forum","坛","","-0.613","basic","2","2"
"gimnazi","校","g","-0.819","basic","4","2"
"lice","校","","-0.912","basic","5","2"
"krisp","皱","k","-1.096","pejvo","6","4"
"falt","皱","f","-0.912","pejvo","5","4"
"grimac","皱","g","-0.566","basic","3","4"
"ĉif","皱","","-0.882","basic","5","4"
"ekstravaganc","怪","e","-1.259","pejvo","4","3"
"monstr","怪","","-1.217","basic","5","3"
"grotesk","怪","g","-1.408","basic","6","3"
"hobi","好","h","-0.699","basic","2","3"
"amator","好","","-1.897","basic","8","3"
"diletant","好","d","-1.409","pejvo","4","3"
"horizontal","横","","-1.098","basic","10","2"
"transvers","横","t","-0.626","pejvo","6","2"
"skerc","谐","s","-0.135","pejvo","2","5"
"harmon","谐","hr","-1.628","pejvo","12","5"
"harmoni","谐","hn","-1.288","basic","8","5"
"burlesk","谐","b","-0.883","pejvo","5","5"
"humur","谐","","-1.116","basic","7","5"
"impon","威","","-1.213","basic","6","1"
"inaŭgur","开","i","-1.917","basic","5","3"
"apert","开","a","-1.584","pejvo","4","3"
"ŝalt","开","","-3.158","basic","25","3"
"rig","索","r","-0.882","pejvo","5","4"
"funikl","索","f","-0.279","pejvo","2","4"
"indeks","索","","-0.789","basic","4","4"
"staj","索","s","-0.729","pejvo","4","4"
"indic","征","","-2.332","basic","18","1"
"intens","烈","","-2.547","basic","28","1"
"spit","逆","s","-1.313","basic","7","3"
"invers","逆","i","-2.008","basic","14","3"
"retro","逆","","-3.051","pref","43","3"
"jakt","艇","","0.001","basic","2","1"
"tern","喷","t","-0.846","basic","6","4"
"erupci","喷","e","-0.559","pejvo","4","4"
"ŝpruc","喷","","-2.257","basic","27","4"
"jet","喷","j","-0.261","basic","3","4"
"pirol","雀","pl","-0.135","pejvo","2","5"
"alaŭd","雀","","-0.982","basic","6","5"
"emberiz","雀","e","-0.189","pejvo","2","5"
"kanari","雀","k","-0.673","basic","4","5"
"paser","雀","p","-0.828","basic","5","5"
"kancer","癌","","-1.402","basic","19","2"
"karcinom","癌","km","0.46","piv","2","2"
"band","队","b","-0.999","pejvo","2","5"
"skadr","队","s","-1.074","pejvo","2","5"
"karavan","队","k","-2.071","basic","6","5"
"rot","队","r","-1.211","pejvo","3","5"
"team","队","","-2.298","basic","10","5"
"karbon","碳","","-2.255","basic","33","2"
"karbur","碳","kr","-0.52","pejvo","5","2"
"karcer","牢","","-1.754","basic","8","1"
"karier","涯","","-1.143","basic","7","1"
"sarkasm","讽","s","-0.849","pejvo","2","2"
"karikatur","讽","","-1.459","basic","4","2"
"sinistr","灾","s","-0.986","piv","3","3"
"katastrof","灾","","-1.632","basic","6","3"
"plag","灾","p","-0.57","basic","2","3"
"kaŭr","蹲","","0.45","basic","3","1"
"klaĉ","谣","","-1.202","basic","9","1"
"kategori","类","","-1.313","basic","6","3"
"analogi","类","a","-0.943","pejvo","4","3"
"klasifik","类","kl","-1.313","basic","6","3"
"klav","键","","-1.683","basic","17","1"
"kod","码","","-2.645","basic","27","2"
"jard","码","j","-0.449","pejvo","2","2"
"intest","肠","i","-1.955","basic","10","3"
"enter","肠","e","-1.999","pejvo","11","3"
"kolbas","肠","","-2.042","basic","11","3"
"koloni","殖","","-1.894","basic","18","2"
"prolifer","殖","p","-0.386","piv","3","2"
"lament","哀","l","-1.246","pejvo","6","3"
"kondolenc","哀","","-1.009","basic","4","3"
"ve","哀","v","-1.652","pejvo","11","3"
"konflikt","冲","k","-2.365","basic","12","5"
"impuls","冲","","-2.185","basic","11","5"
"spurt","冲","s","-1.036","piv","3","5"
"elan","冲","e","-0.699","piv","2","5"
"sprint","冲","sn","-0.799","piv","2","5"
"konjunkci","合","kj","-1.459","pejvo","4","6"
"kluc^","合","kl","-2.308","pejvo","14","6"
"konform","合","kf","-2.841","basic","21","6"
"kongru","合","kg","-1.646","pejvo","6","6"
"kombin","合","","-2.696","basic","19","6"
"sintez","合","s","-2.473","pejvo","15","6"
"konk","贝","","-2.733","basic","16","1"
"asist","辅","","-1.116","basic","7","2"
"konsonant","辅","k","-0.755","basic","4","2"
"konsult","询","","-2.171","basic","14","1"
"kontinent","陆","","-2.171","basic","11","1"
"kontribu","贡","","-1.435","basic","5","2"
"tribut","贡","t","-0.943","pejvo","3","2"
"kooper","协","kp","-1.897","pejvo","8","2"
"kooperativ","协","","-1.846","basic","6","2"
"krab","蟹","","0.45","basic","3","1"
"kramp","夹","","-2.135","basic","11","4"
"klip","夹","kp","-0.699","pejvo","2","4"
"sandviĉ","夹","s","-1.83","basic","7","4"
"klem","夹","kl","-0.986","pejvo","3","4"
"ŝveb","翔","","-1.298","basic","10","1"
"prohibici","禁","p","-0.294","pejvo","3","3"
"embarg","禁","e","0.063","pejvo","2","3"
"tabu","禁","","-0.738","basic","6","3"
"tajd","潮","","-1.219","basic","13","1"
"taktik","术","","-1.246","basic","3","1"
"timbal","鼓","tl","0.063","pejvo","2","3"
"tambur","鼓","","-1.404","basic","12","3"
"aplaŭd","鼓","a","-0.63","basic","5","3"
"templ","庙","","-1.69","basic","9","1"
"term","项","","-3.36","basic","61","2"
"nuk","项","n","-0.992","basic","5","2"
"testament","嘱","","-0.759","basic","7","1"
"tropik","热带","","-1.33","basic","22","1"
"splen","郁","s","-0.486","pejvo","2","3"
"melankoli","郁","m","-0.924","pejvo","3","3"
"tulip","郁","","-0.486","basic","2","3"
"univers","宇","u","-1.136","basic","3","2"
"kosm","宇","","-2.691","basic","21","2"
"uro","尿","ur","-0.815","piv","3","3"
"pis","尿","p","-1.508","pejvo","7","3"
"urin","尿","","-2.416","basic","18","3"
"valut","币","","-2.278","basic","9","1"
"varb","募","","-0.979","basic","7","2"
"kvest","募","k","-0.311","piv","3","2"
"veget","茂","","-2.332","basic","18","1"
"vertikal","竖","","-1.564","basic","8","1"
"veteran","老","","-0.849","basic","2","2"
"senil","老","s","-1.259","pejvo","4","2"
"vokoid","元","vd","-1.149","piv","2","2"
"vokal","元","","-1.767","basic","5","2"
"absurd","谬","","-0.918","basic","7","1"
"riverenc","拜","r","-0.465","basic","2","4"
"kult","拜","k","-1.631","basic","10","4"
"pilgrim","拜","p","-1.636","pejvo","9","4"
"ador","拜","","-1.718","basic","11","4"
"adverb","副","","0.243","basic","1","2"
"akcesor","副","ak","-0.883","pejvo","5","2"
"trist","悲","ts","-0.311","pejvo","3","4"
"aflikt","悲","","-0.559","basic","4","4"
"pesim","悲","p","-0.311","pejvo","3","4"
"tragedi","悲","t","-0.584","basic","4","4"
"ajl","蒜","","-1.254","basic","11","1"
"akt","幕","","-1.167","basic","10","2"
"kulis","幕","k","-0.202","pejvo","3","2"
"alud","暗","","-0.402","basic","4","3"
"tenebr","暗","t","0.063","piv","2","3"
"obskur","暗","o","-1.036","pejvo","8","3"
"anekdot","闻","","-0.432","basic","2","1"
"arbitr","擅","","-0.304","basic","5","1"
"intermit","断","i","-1.421","pejvo","9","2"
"asert","断","","-0.423","basic","3","2"
"bagatel","琐","","-0.7","basic","4","1"
"balbut","结巴","","-0.63","basic","5","1"
"bambu","竹","","-1.952","basic","9","1"
"banan","蕉","","-0.209","basic","4","1"
"c^irp","鸣","c^","-0.449","pejvo","2","5"
"hup","鸣","h","-0.699","pejvo","3","5"
"blek","鸣","b","-1.547","basic","8","5"
"tint","鸣","","-1.915","basic","12","5"
"kvivit","鸣","k","-0.524","piv","2","5"
"buĝet","预算","","-0.06","basic","10","1"
"spros","芽","s","-0.613","pejvo","2","4"
"s^os","芽","s^","-1.375","pejvo","6","4"
"ĝerm","芽","","-1.956","basic","11","4"
"burĝon","芽","b","-1.754","basic","8","4"
"ĉel","胞","","-3.071","basic","47","4"
"celul","胞","c","-0.365","pejvo","2","4"
"cito","胞","ct","-1.179","piv","6","4"
"citoz","胞","cz","-1.059","piv","5","4"
"cep","葱","","-0.484","basic","4","1"
"dama","鹿","d","-0.395","pejvo","3","3"
"cerv","鹿","","-1.954","basic","18","3"
"kapreol","鹿","k","-0.477","pejvo","3","3"
"cign","天鹅","","-0.084","basic","4","1"
"cirkuler","函","","-0.599","basic","2","1"
"lombard","当","l","-2.053","pejvo","9","2"
"deĵor","当","","-2.289","basic","13","2"
"skol","派","sl","-0.843","pejvo","4","5"
"deriv","派","dr","-1.906","pejvo","13","5"
"sekt","派","s","-1.179","pejvo","6","5"
"konfesi","派","k","-0.432","pejvo","2","5"
"deput","派","","-1.464","basic","8","5"
"digest","消","","-2.124","basic","18","1"
"dimensi","维","","-1.037","basic","6","1"
"eĥ","回","","-2.139","basic","13","1"
"ekran","屏","","-2.1","basic","16","1"
"ekspluat","采","","-2.139","basic","13","1"
"fajn","精","f","-0.988","pejvo","9","7"
"spermati","精","sp","0.13","piv","2","7"
"rafin","精","r","-1.346","pejvo","13","7"
"ekzakt","精","","-0.808","basic","7","7"
"spermat","精","s","0.151","piv","2","7"
"nimf","精","n","-0.072","pejvo","3","7"
"niks","精","nk","0.216","pejvo","2","7"
"degener","退","d","-1.413","pejvo","7","4"
"retret","退","rt","-0.399","pejvo","2","4"
"emerit","退","","-1.38","basic","7","4"
"regres","退","r","-0.91","pejvo","4","4"
"fab","豆","","-1.731","basic","9","2"
"fazeol","豆","fz","-0.943","basic","3","2"
"krizantem","菊","","-0.937","basic","5","2"
"kompozit","菊","kp","-0.217","pejvo","2","2"
"kverel","吵","","-0.943","basic","3","1"
"halebard","矛","h","-1.079","pejvo","2","2"
"lanc","矛","","-1.937","basic","8","2"
"lanĉ","发","","-2.043","basic","9","2"
"emisi","发","e","-1.409","pejvo","4","2"
"lumb","腰","l","-0.584","basic","5","2"
"tali","腰","","-1.095","basic","9","2"
"magnet","磁","","-2.933","basic","66","2"
"magnetofon","磁","mf","1.186","basic","0","2"
"mani","狂","","-2.839","basic","28","6"
"histeri","狂","h","-0.986","pejvo","3","6"
"fanatik","狂","fn","-1.392","pejvo","5","6"
"rabi","狂","r","-1.417","pejvo","6","6"
"delir","狂","d","-1.46","basic","6","6"
"furioz","狂","f","-1.86","basic","9","6"
"manuskript","稿","","0.201","basic","2","1"
"masaĝ","摩","","0.014","basic","3","1"
"matĉ","赛","","0.216","basic","2","2"
"turnir","赛","t","-0.52","pejvo","5","2"
"medi","境","","-2.637","basic","51","2"
"eko","境","e","-1.303","pejvo","13","2"
"mejl","里","","-0.858","basic","3","1"
"mev","鸥","","-0.586","basic","3","2"
"lar","鸥","l","-0.586","pejvo","3","2"
"miaŭ","咪","","-0.619","basic","3","1"
"monopol","垄","","-1.947","basic","11","1"
"motiv","由","","-2.285","basic","11","1"
"sinap","芥","s","-0.9","pejvo","3","2"
"mustard","芥","","-1.209","basic","4","2"
"neg","否","ng","-0.815","piv","3","3"
"veto","否","v","-0.57","pejvo","2","3"
"negativ","否","","-2.691","basic","21","3"
"norm","范","","-2.73","basic","32","1"
"mikro","微","","-2.747","pref","50","4"
"liliput","微","l","-0.248","pejvo","3","4"
"nuanc","微","n","-0.202","basic","3","4"
"infinitezim","微","i","-0.34","pejvo","3","4"
"kern","核","","-2.521","basic","29","2"
"nukle","核","n","-2.957","basic","44","2"
"panic","粟","","-0.024","basic","2","2"
"mili","粟","m","-0.846","pejvo","6","2"
"panik","慌","","-0.717","basic","5","1"
"paradoks","悖","","-0.626","basic","3","1"
"paralel","并","","-2.695","basic","18","2"
"aneks","并","a","-1.442","pejvo","5","2"
"parentez","括","","-0.753","basic","3","1"
"at","被","","-4.511","suf","232","2"
"pasiv","被","p","-1.096","basic","6","2"
"pelv","盆","","-1.313","basic","7","2"
"basen","盆","b","-1.059","pejvo","5","2"
"pension","宿","","-0.477","basic","3","1"
"piknik","野餐","","1.535","basic","2","1"
"pilol","丸","","-1.586","basic","3","2"
"testik","丸","t","-2.246","pejvo","6","2"
"podi","台","","-1.819","basic","7","5"
"konzol","台","k","-0.959","pejvo","2","5"
"bufed","台","b","-1.592","pejvo","5","5"
"peron","台","pr","-0.493","basic","1","5"
"teras","台","t","-1.186","basic","3","5"
"sufiks","缀","","-0.855","basic","5","2"
"prefiks","缀","p","-0.477","basic","3","2"
"prezident","统","p","-1.346","basic","6","2"
"tradici","统","","-1.279","basic","6","2"
"provizor","暂","","-1.08","basic","7","1"
"purpur","紫","","-0.896","basic","6","1"
"stab","参","","-1.429","basic","7","2"
"referenc","参","r","-1.446","basic","6","2"
"replik","驳","rp","-0.943","pejvo","3","3"
"refut","驳","","-1.124","basic","4","3"
"barg^","驳","b","-0.57","pejvo","2","3"
"respektiv","各","","-0.949","basic","2","1"
"ruin","废","rn","-1.989","basic","13","5"
"abolici","废","ac","-0.849","pejvo","3","5"
"abrog","废","ar","-0.486","piv","2","5"
"abol","废","a","-0.736","pejvo","3","5"
"rub","废","","-2.448","basic","22","5"
"rubrik","栏","r","0.007","basic","1","3"
"kolumn","栏","","-0.399","basic","2","3"
"barier","栏","b","-0.91","pejvo","4","3"
"ŝak","棋","","-1.871","basic","19","1"
"ŝampu","沐","","-0.613","basic","2","1"
"ŝark","鲨","","-0.372","basic","5","1"
"silab","节","s","-2.978","basic","23","7"
"diet","节","","-2.138","basic","10","7"
"dietik","节","dk","-0.959","piv","2","7"
"artik","节","a","-2.796","basic","19","7"
"strof","节","st","-1.186","basic","3","7"
"gangli","节","g","-1.246","pejvo","3","7"
"artr","节","ar","-2.043","pejvo","9","7"
"pulc^inel","丑","pl","-1.299","pejvo","2","6"
"skandal","丑","","-1.917","basic","5","6"
"histrion","丑","h","-1.299","pejvo","2","6"
"pajac","丑","p","-1.074","pejvo","2","6"
"arleken","丑","a","-1.511","pejvo","3","6"
"klau^n","丑","k","-1.361","pejvo","3","6"
"sism","震","s","0.034","pejvo","3","3"
"ŝok","震","","-0.863","basic","9","3"
"seism","震","ss","-0.546","piv","6","3"
"aplomb","稳","a","0.173","pejvo","2","2"
"stabil","稳","","-1.501","basic","15","2"
"statistik","计","","-2.578","basic","9","2"
"termometr","计","t","-0.275","basic","0","2"
"brutal","暴","b","-0.229","piv","4","4"
"ŝtorm","暴","","-1.085","basic","11","4"
"tiran","暴","t","-0.797","pejvo","8","4"
"violent","暴","v","-0.432","pejvo","5","4"
"superstiĉ","迷","","-0.499","basic","2","2"
"zelot","迷","z","-0.365","pejvo","2","2"
"mat","席","","-1.575","basic","11","1"
"matematik","数学","","0.18","basic","5","1"
"kukurb","瓜","k","-2.163","basic","9","3"
"melon","瓜","","-1.592","basic","5","3"
"kukum","瓜","km","-1.186","basic","3","3"
"miel","蜜","","-0.988","basic","9","2"
"nektar","蜜","n","-0.115","pejvo","3","2"
"minimum","最小","","-0.837","basic","8","1"
"monument","碑","","-0.494","basic","4","1"
"musk","苔","","-1.142","basic","5","1"
"ignor","忽","","-1.333","basic","6","2"
"neglekt","忽","n","-0.849","basic","3","2"
"obstakl","碍","","-0.248","basic","3","1"
"ocean","洋","","-1.975","basic","14","1"
"ortografi","拼","","0.6","basic","0","2"
"parget","拼","p","-0.686","pejvo","3","2"
"palp","摸","","-1.277","basic","11","1"
"palpebr","目皮","","-1.289","basic","7","1"
"palt","大衣","","0.074","basic","1","1"
"pane","瘫","","-0.372","basic","5","3"
"paraliz","瘫","pr","-1.038","pejvo","10","3"
"plegi","瘫","pg","0.014","piv","3","3"
"pantofl","拖鞋","","0.823","basic","3","1"
"pap","教皇","","-0.348","basic","9","1"
"papag","鹦","","-0.691","basic","8","1"
"papili","蝶","","-1.51","basic","17","1"
"pensi","养老","","-0.797","basic","8","1"
"pere","亡","","-2.498","basic","10","1"
"perl","珠","","-2.165","basic","20","1"
"persik","桃","","-0.972","basic","5","1"
"orgen","琴","o","-0.535","pejvo","4","6"
"harp","琴","hp","-0.692","pejvo","5","6"
"pian","琴","","-1.465","basic","12","6"
"lir","琴","l","-0.667","pejvo","5","6"
"citr","琴","c","0.001","pejvo","2","6"
"harmonik","琴","h","-1.08","pejvo","7","6"
"pionir","拓","","-1.504","basic","7","1"
"pipr","椒","","-1.465","basic","12","1"
"plastik","塑","pk","-0.471","basic","4","4"
"plast","塑","","-1.524","basic","14","4"
"plasti","塑","pl","-0.225","piv","3","4"
"modl","塑","m","-0.99","pejvo","8","4"
"popular","众","","-2.235","basic","11","1"
"portret","肖","","-1.209","basic","4","1"
"markiz","侯","m","-0.91","pejvo","4","2"
"princ","侯","","-2.157","basic","17","2"
"princip","则","","-1.947","basic","8","1"
"profesor","授","","-1.421","basic","9","2"
"inic","授","i","-0.801","pejvo","5","2"
"pupitr","案","pp","-0.279","pejvo","2","2"
"projekt","案","","-1.608","basic","10","2"
"proverb","谚","","-0.883","basic","5","1"
"rafan","萝卜","","-0.202","basic","3","2"
"rap","萝卜","rp","-0.715","pejvo","6","2"
"batrak","蛙","b","-0.049","pejvo","2","2"
"ran","蛙","","-1.072","basic","8","2"
"reĝim","制","","-2.096","basic","14","1"
"fizionomi","相","fn","-0.499","pejvo","2","4"
"faz","相","f","-2.09","pejvo","17","4"
"vezir","相","v","-0.365","pejvo","2","4"
"relativ","相","","-2.378","basic","20","4"
"nefr","肾","n","-1.835","piv","11","2"
"ren","肾","","-1.71","basic","10","2"
"cenzur","审","c","-1.504","pejvo","7","5"
"reviz","审","rz","-0.774","pejvo","3","5"
"revizor","审","rv","-1.072","pejvo","4","5"
"revizi","审","","-1.371","basic","6","5"
"asiz","审","a","-0.736","pejvo","3","5"
"rigid","硬","","-1.633","basic","14","5"
"hard","硬","h","-1.465","pejvo","12","5"
"dur","硬","d","-0.261","pejvo","3","5"
"ciroz","硬","c","-0.024","pejvo","2","5"
"skler","硬","s","-0.871","pejvo","6","5"
"asonanc","韵","a","0.04","pejvo","2","2"
"rim","韵","","-1.542","basic","15","2"
"sag","矢","","-2.57","basic","17","1"
"vimen","柳","v","-0.876","pejvo","4","2"
"salik","柳","","-1.213","basic","6","2"
"ŝaŭm","沫","","-2.485","basic","22","1"
"sekur","安","","-3.116","basic","31","1"
"koalici","盟","k","-1.164","pejvo","9","4"
"kartel","盟","kr","-0.225","pejvo","3","4"
"sindikat","盟","","-1.449","basic","12","4"
"alianc","盟","a","-0.918","pejvo","7","4"
"ŝink","火腿","","-0.45","basic","7","1"
"absorb","吸","a","-1.646","pejvo","6","5"
"s^mac","吸","s^","-0.986","pejvo","3","5"
"inhal","吸","i","-1.442","pejvo","5","5"
"sorb","吸","sr","-3.034","basic","30","5"
"suĉ","吸","","-3.161","basic","36","5"
"sampl","样","sl","-0.536","piv","3","3"
"specimen","样","","-1.032","basic","5","3"
"muestr","样","m","-0.279","piv","2","3"
"ament","穗","a","0.513","piv","2","3"
"kvast","穗","k","0.513","pejvo","2","3"
"spik","穗","","-0.45","basic","7","3"
"spur","迹","","-1.798","basic","12","1"
"stan","锡","","-1.277","basic","11","1"
"kloak","沟","k","-1.912","pejvo","10","3"
"sulk","沟","","-2.416","basic","18","3"
"tranc^e","沟","t","-0.656","pejvo","2","3"
"tendenc","趋","","-0.361","basic","3","1"
"teritori","领","","-1.757","basic","13","1"
"testud","龟","","-1.754","basic","8","1"
"kulm","茎","k","-0.449","pejvo","2","2"
"tig","茎","","-2.203","basic","17","2"
"tigr","虎","","-0.959","basic","4","1"
"juk","痒","","-1.061","basic","7","3"
"tikl","痒","t","-1.089","basic","7","3"
"urtik","痒","u","-0.646","pejvo","4","3"
"tomat","茄","","-0.774","basic","3","1"
"instrukci","训","i","-1.986","pejvo","6","2"
"trejn","训","","-2.285","basic","11","2"
"tuber","隆","","-1.676","basic","13","1"
"tumult","闹","","-1.728","basic","9","1"
"tonel","吨","tl","-1.306","pejvo","5","2"
"tun","吨","","-1.375","basic","6","2"
"tunel","隧","","-1.105","basic","10","1"
"uniform","制服","","-0.477","basic","6","2"
"livre","制服","l","0.408","pejvo","2","2"
"fluktu","荡","f","-0.686","pejvo","3","5"
"vagabond","荡","vb","-0.465","pejvo","2","5"
"libertin","荡","l","-0.753","pejvo","3","5"
"vag","荡","","-2.496","basic","26","5"
"diboc^","荡","d","-1.906","pejvo","13","5"
"venĝ","仇","","-2.385","basic","11","1"
"vet","赌","","-1.765","basic","17","1"
"viktim","牺","","-0.789","basic","4","1"
"flagel","鞭","f","-0.092","piv","5","4"
"knut","鞭","k","0.635","piv","2","4"
"vip","鞭","","-0.648","basic","10","4"
"skurg^","鞭","s","0.618","pejvo","2","4"
"virg","贞","","-1.998","basic","10","1"
"volumen","积","","-0.596","basic","3","2"
"kumulus","积","k","-0.819","pejvo","4","2"
"sput","吐","s","-1.68","pejvo","7","3"
"kraĉ","吐","k","-2.085","basic","11","3"
"vom","吐","","-2.383","basic","16","3"
"zink","锌","","-1.298","basic","10","1"
"zum","嗡","","-1.072","basic","9","1"
"anzu","杏","an","-0.858","piv","3","2"
"abrikot","杏","","-1.392","basic","5","2"
"abstin","戒","","-1.754","basic","8","1"
"agit","搅","","-1.202","basic","9","1"
"variol","痘","v","-1.029","pejvo","7","2"
"akn","痘","","0.026","basic","2","2"
"akrid","蝗","","0.014","basic","3","2"
"lokust","蝗","l","0.281","pejvo","2","2"
"s^aft","轴","s^","-1.025","pejvo","5","2"
"aks","轴","","-2.144","basic","18","2"
"bosk","林","b","-0.736","pejvo","3","3"
"ale","林","","-0.006","basic","1","3"
"forst","林","f","-1.467","pejvo","7","3"
"alg","藻","","-0.855","basic","14","1"
"alumini","铝","","-0.883","basic","5","1"
"infuz","泡","i","-1.179","pejvo","5","5"
"blaz","泡","bz","-0.736","piv","3","5"
"bobel","泡","b","-1.179","pejvo","5","5"
"efervesk","泡","e","-0.886","pejvo","3","5"
"ampol","泡","","-0.997","basic","4","5"
"anser","鹅","","-1.564","basic","13","1"
"apertur","孔","","-1.917","basic","5","1"
"arteri","脉","a","-1.246","basic","6","7"
"vejn","脉","","-1.941","basic","14","7"
"angi","脉","an","-1.536","pejvo","9","7"
"fleb","脉","f","-0.332","piv","2","7"
"vaskul","脉","vs","-1.38","piv","7","7"
"sfigm","脉","s","-0.876","piv","4","7"
"puls","脉","p","-1.631","pejvo","10","7"
"elit","优","e","-0.699","pejvo","2","3"
"avantaĝ","优","","-1.696","basic","6","3"
"optimum","优","o","-0.849","pejvo","2","3"
"aven","燕麦","","0.862","basic","3","1"
