"root","k","id","band","F"
"indiferent","冷","","basic","6"
"frid","冷","f","pejvo","15"
"algid","冷","a","piv","2"
"frigid","冷","fg","piv","2"
"teknik","技","","basic","26"
"inĝenier","技","i","basic","12"
"teknologi","技","tl","basic","7"
"teĥnik","技","tĥ","basic","2"
"instig","唆","","basic","8"
"ofend","侮","","basic","11"
"insult","侮","i","basic","7"
"inteligent","聪","","basic","8"
"ĵaluz","妒","","basic","4"
"ĵur","誓","","basic","19"
"vot","誓","v","pejvo","4"
"juvel","宝","","basic","9"
"trezor","宝","t","basic","5"
"moŝt","阁","","basic","10"
"kabinet","阁","k","basic","5"
"ekscelenc","阁","e","pejvo","3"
"kalendar","历","","basic","9"
"fason","款","","basic","5"
"regal","款","r","basic","4"
"klau^z","款","k","pejvo","4"
"respublik","共和","","basic","13"
"rezign","弃","","basic","4"
"abnegaci","弃","a","pejvo","2"
"abandon","弃","ad","piv","3"
"rip","肋","","basic","8"
"risk","险","","basic","13"
"rob","袍","","basic","13"
"surtut","袍","s","basic","3"
"tunik","袍","t","pejvo","4"
"kut","袍","k","piv","2"
"frok","袍","f","piv","3"
"ronk","哼","","basic","3"
"grunt","哼","g","pejvo","2"
"sagac","敏","","basic","5"
"prompt","敏","p","piv","4"
"saŭc","酱","","basic","17"
"seg","锯","","basic","21"
"ŝel","壳","","basic","28"
"krust","壳","k","basic","11"
"kartoc^","壳","kt","pejvo","12"
"hul","壳","h","pejvo","3"
"simi","猿","","basic","12"
"sklav","奴","","basic","19"
"ŝmir","涂","","basic","19"
"stuk","涂","s","pejvo","7"
"ŝofor","驾","","basic","2"
"stir","驾","s","pejvo","24"
"koc^er","驾","k","pejvo","2"
"sojl","槛","","basic","11"
"sopir","慕","","basic","9"
"ŝraŭb","螺","","basic","46"
"helik","螺","h","pejvo","8"
"helic","螺","hc","pejvo","7"
"ŝtal","钢","","basic","17"
"stang","杆","","basic","43"
"stri","条","","basic","24"
"lat","条","l","pejvo","8"
"struktur","构","","basic","14"
"instituci","构","i","pejvo","6"
"sufok","窒","","basic","9"
"asfiksi","窒","a","pejvo","2"
"fac","面","","basic","7"
"surfac","面","s","basic","17"
"edr","面","e","sci","22"
"are","面","a","pejvo","10"
"nudel","面","n","pejvo","5"
"spaget","面","sp","pejvo","2"
"sven","昏","","basic","10"
"krepusk","昏","k","basic","7"
"komat","昏","km","pejvo","5"
"stupor","昏","st","piv","4"
"sving","挥","","basic","14"
"tajl","裁","","basic","7"
"tajlor","裁","tr","basic","9"
"arbitraci","裁","a","pejvo","6"
"ted","烦","","basic","8"
"agac","烦","a","pejvo","4"
"teg","覆","","basic","14"
"mulc^","覆","m","pejvo","2"
"tend","帐","","basic","10"
"tremp","浸","","basic","4"
"ru","浸","r","pejvo","2"
"macer","浸","m","pejvo","6"
"marin","浸","mr","pejvo","4"
"perkol","浸","p","pejvo","6"
"infiltr","浸","i","piv","2"
"impregn","浸","im","piv","2"
"trotuar","径","","basic","3"
"pad","径","p","pejvo","2"
"kalibr","径","k","pejvo","6"
"radial","径","r","pejvo","2"
"turment","虐","","basic","13"
"molest","虐","m","pejvo","2"
"urs","熊","","basic","22"
"vakcin","疫苗","","basic","15"
"vel","帆","","basic","24"
"j^ib","帆","ĵ","pejvo","3"
"velar","帆","vr","pejvo","3"
"velk","枯","","basic","15"
"venen","毒","","basic","20"
"virus","毒","vr","basic","13"
"toks","毒","t","sci","21"
"toksin","毒","tn","pejvo","5"
"virulent","毒","vl","pejvo","3"
"veŝt","坎","","basic","4"
"vidv","寡","","basic","7"
"oligo","寡","o","piv","5"
"virt","德","","basic","11"
"moral","德","m","basic","22"
"vual","纱","","basic","11"
"gaz","纱","g","pejvo","3"
"vulp","狐","","basic","11"
"abstrakt","抽","","basic","13"
"ekstrakt","抽","e","pejvo","3"
"akuzativ","宾","","basic","2"
"altern","替","","basic","20"
"alternativ","替","at","basic","0"
"dubl","替","d","pejvo","4"
"substitu","替","s","pejvo","5"
"ambici","志","","basic","4"
"grafi","志","g","sci","94"
"analiz","析","","basic","13"
"skand","析","s","pejvo","2"
"analitik","析","at","pejvo","3"
"antikv","古","","basic","6"
"arka","古","ar","pejvo","4"
"arh^e","古","aĥ","pejvo","2"
"arkeo","古","ao","pejvo","6"
"paleo","古","p","pejvo","2"
"paleont","古","pn","pejvo","3"
"arest","逮","","basic","10"
"arog","傲","","pejvo","7"
"arogant","傲","an","basic","0"
"orgojl","傲","o","pejvo","2"
"paradiz","天","","basic","7"
"astronomi","天","a","basic","1"
"aŭdac","敢","","basic","3"
"aŭror","晓","","basic","4"
"aviad","航","","basic","30"
"navig","航","n","pejvo","10"
"navigaci","航","nc","pejvo","2"
"nau^tik","航","nŭ","piv","2"
"balen","鲸","","basic","14"
"cetac","鲸","c","pejvo","3"
"banal","庸","","basic","4"
"tort","饼","","basic","7"
"biskvit","饼","b","basic","3"
"pic","饼","p","pejvo","3"
"vafl","饼","v","pejvo","5"
"oblat","饼","o","pejvo","2"
"kresp","饼","k","pejvo","2"
"kraken","饼","kk","pejvo","2"
"bomb","弹","","basic","26"
"kugl","弹","k","basic","10"
"elast","弹","e","basic","19"
"obus","弹","o","pejvo","4"
"budh","佛","","basic","13"
"buda","佛","ba","pejvo","3"
"kron","冠","","basic","49"
"krest","冠","ks","basic","10"
"ĉampion","冠","ĉ","basic","5"
"mitr","冠","m","pejvo","5"
"kalot","冠","kl","piv","2"
"koronari","冠","kr","piv","2"
"ceramik","陶","","basic","8"
"dialekt","言","","basic","6"
"diskriminaci","歧","","basic","4"
"kalkan","跟","","basic","6"
"kandel","烛","","basic","8"
"kares","抚","","basic","12"
"kastel","城","","basic","9"
"kemi","化学","","basic","25"
"kin","映","","basic","9"
"enantio","映","e","piv","6"
"kned","揉","","basic","8"
"tau^z","揉","t","pejvo","7"
"integr","全","","basic","19"
"komplet","全","k","basic","15"
"holo","全","h","pejvo","10"
"koncert","奏","","basic","10"
"konfuz","乱","","basic","14"
"turbul","乱","t","pejvo","6"
"pelmel","乱","p","pejvo","3"
"konkur","竞","","basic","15"
"konkurs","竞","ks","basic","20"
"konkurenc","竞","kn","pejvo","9"
"kontrakt","约","","basic","18"
"rendevu","约","r","basic","3"
"konvenci","约","kv","basic","8"
"kord","弦","","basic","16"
"kot","泥","","basic","12"
"s^lim","泥","ŝ","pejvo","12"
"pure","泥","p","pejvo","3"
"krad","栅","","basic","20"
"hurd","栅","h","pejvo","3"
"kran","栓","","basic","9"
"bolt","栓","b","pejvo","7"
"embol","栓","e","pejvo","3"
"dubel","栓","d","piv","2"
"kret","白石","","basic","6"
"kruel","残","","basic","11"
"kripl","残","kp","basic","6"
"krut","陡","","basic","10"
"abrupt","陡","a","basic","4"
"kubut","肘","","basic","4"
"kupr","铜","","basic","16"
"kurten","帘","","basic","14"
"kverk","橡","","basic","8"
"glan","橡","g","pejvo","5"
"lek","舔","","basic","7"
"lift","梯","","basic","5"
"eskal","梯","e","pejvo","3"
"trapez","梯","t","pejvo","4"
"lup","狼","","basic","9"
"maĉ","嚼","","basic","12"
"marĉ","沼","","basic","17"
"migr","迁","","basic","35"
"emigr","迁","e","piv","2"
"miliard","十亿","","num","2"
"min","矿","","basic","43"
"mineral","矿","mr","basic","9"
"erc","矿","e","pejvo","15"
"selen","矿","s","pejvo","6"
"telur","矿","t","pejvo","1"
"arsen","矿","a","pejvo","1"
"minera","矿","mi","pejvo","2"
"antimon","矿","an","pejvo","1"
"model","模","","basic","14"
"s^ablon","模","ŝ","pejvo","5"
"moskit","蚊","","basic","5"
"kul","蚊","k","pejvo","2"
"mus","鼠","","basic","15"
"rat","鼠","r","basic","6"
"mel","鼠","ml","pejvo","2"
"ermen","鼠","e","pejvo","3"
"vizon","鼠","v","pejvo","2"
"mefit","鼠","mf","pejvo","2"
"zibel","鼠","z","pejvo","2"
"putor","鼠","p","pejvo","2"
"mustel","鼠","ms","pejvo","6"
"sorik","鼠","s","pejvo","1"
"didelf","鼠","d","pejvo","1"
"kavi","鼠","k","piv","1"
"tuku","鼠","t","piv","1"
"aguti","鼠","a","piv","1"
"c^inc^il","鼠","ĉ","piv","1"
"mikrot","鼠","mk","piv","1"
"ondatr","鼠","o","piv","1"
"arvikol","鼠","ar","piv","1"
"dolikot","鼠","dl","piv","1"
"hidroker","鼠","h","piv","1"
"lagostom","鼠","l","piv","1"
"miokastor","鼠","mt","piv","1"
"muskarden","鼠","mr","piv","1"
"muskol","筋","","basic","16"
"tenden","筋","t","pejvo","5"
"naiv","朴","","basic","7"
"rustik","朴","r","piv","2"
"naŭz","呕","","basic","4"
"nerv","神经","","basic","22"
"neŭr","神经","nŭ","sci","20"
"nobl","贵","","basic","13"
"nobel","贵","ne","pejvo","10"
"patrici","贵","p","pejvo","2"
"aristokrat","贵","a","pejvo","4"
"observ","观","","basic","17"
"ideologi","观","i","basic","0"
"spekt","观","s","pejvo","14"
"ombrel","伞","","basic","5"
"paraŝut","伞","p","basic","8"
"umbel","伞","u","pejvo","2"
"palac","宫","","basic","7"
"uter","宫","u","pejvo","16"
"pent","悔","","basic","12"
"rimors","悔","r","piv","2"
"pinĉ","掐","","basic","15"
"pir","梨","","basic","22"
"plumb","铅","","basic","21"
"posten","岗","","basic","11"
"situ","位","","basic","2"
"pozici","位","p","basic","6"
"bit","位","b","pejvo","12"
"apozici","位","a","pejvo","2"
"pretekst","借口","","basic","3"
"pretend","称","","basic","8"
"simetri","称","s","pejvo","7"
"kvalifik","称","k","pejvo","6"
"probabl","概","","basic","8"
"koncept","概","k","basic","7"
"resum","概","r","basic","1"
"noci","概","n","pejvo","2"
"sinoptik","概","s","pejvo","4"
"kompendi","概","km","pejvo","2"
"program","程","","basic","37"
"proces","程","pc","basic","8"
"procez","程","pz","pejvo","6"
"procedur","程","pd","pejvo","7"
"prokrast","延","","basic","14"
"proz","散文","","basic","5"
"pulm","肺","","basic","15"
"pneu^mon","肺","pn","pejvo","7"
"pulv","火药","","basic","6"
"pump","泵","","basic","19"
"putr","腐","","basic","14"
"seps","腐","s","pejvo","15"
"sapr","腐","sr","piv","7"
"ekskluziv","排","","basic","11"
"dren","排","d","pejvo","8"
"kompost","排","k","pejvo","13"
"kotlet","排","kt","pejvo","4"
"enket","查","","basic","10"
"etap","段","","basic","2"
"epizod","段","ep","basic","3"
"segment","段","s","pejvo","5"
"metamer","段","m","piv","2"
"etik","伦","","basic","4"
"kont","账","","basic","25"
"faktur","账","f","basic","3"
"fantom","幽","","basic","7"
"fekund","肥","","basic","11"
"koks","股","","basic","8"
"akci","股","a","basic","7"
"femur","股","f","basic","8"
"fiask","败","","basic","2"
"defet","败","d","piv","3"
"filozofi","哲","","basic","4"
"filozof","哲","fi","pejvo","2"
"filtr","滤","","basic","15"
"versi","版","","basic","7"
"format","版","f","basic","12"
"forum","坛","","basic","2"
"altar","坛","a","pejvo","5"
"lice","校","","basic","5"
"gimnazi","校","g","basic","4"
"ĉif","皱","","basic","5"
"grimac","皱","g","basic","3"
"falt","皱","f","pejvo","5"
"krisp","皱","k","pejvo","6"
"monstr","怪","","basic","5"
"grotesk","怪","g","basic","6"
"ekstravaganc","怪","e","pejvo","4"
"amator","好","","basic","8"
"hobi","好","h","basic","2"
"diletant","好","d","pejvo","4"
"horizontal","横","","basic","10"
"transvers","横","t","pejvo","6"
"humur","谐","","basic","7"
"harmoni","谐","hr","basic","8"
"harmon","谐","ha","pejvo","12"
"skerc","谐","s","pejvo","2"
"burlesk","谐","b","pejvo","5"
"impon","威","","basic","6"
"ŝalt","开","","basic","25"
"inaŭgur","开","i","basic","5"
"apert","开","a","pejvo","4"
"indeks","索","","basic","4"
"rig","索","r","pejvo","5"
"staj","索","s","pejvo","4"
"funikl","索","f","pejvo","2"
"indic","征","","basic","18"
"intens","烈","","basic","28"
"retro","逆","","pref","43"
"spit","逆","s","basic","7"
"invers","逆","i","basic","14"
"jakt","艇","","basic","2"
"ŝpruc","喷","","basic","27"
"jet","喷","j","basic","3"
"tern","喷","t","basic","6"
"erupci","喷","e","pejvo","4"
"alaŭd","雀","","basic","6"
"paser","雀","p","basic","5"
"kanari","雀","k","basic","4"
"pirol","雀","pr","pejvo","2"
"emberiz","雀","e","pejvo","2"
"kancer","癌","","basic","19"
"karcinom","癌","kr","piv","2"
"team","队","","basic","10"
"karavan","队","k","basic","6"
"rot","队","r","pejvo","3"
"band","队","b","pejvo","2"
"skadr","队","s","pejvo","2"
"karbon","碳","","basic","33"
"karbur","碳","kr","pejvo","5"
"karcer","牢","","basic","8"
"karier","涯","","basic","7"
"karikatur","讽","","basic","4"
"sarkasm","讽","s","pejvo","2"
"katastrof","灾","","basic","6"
"plag","灾","p","basic","2"
"sinistr","灾","s","piv","3"
"kaŭr","蹲","","basic","3"
"klaĉ","谣","","basic","9"
"klasifik","类","","basic","6"
"kategori","类","kt","basic","6"
"analogi","类","a","pejvo","4"
"klav","键","","basic","17"
"kod","码","","basic","27"
"jard","码","j","pejvo","2"
"kolbas","肠","","basic","11"
"intest","肠","i","basic","10"
"enter","肠","e","pejvo","11"
"ile","肠","il","pejvo","1"
"koloni","殖","","basic","18"
"prolifer","殖","p","piv","3"
"kondolenc","哀","","basic","4"
"ve","哀","v","pejvo","11"
"lament","哀","l","pejvo","6"
"impuls","冲","","basic","11"
"konflikt","冲","k","basic","12"
"elan","冲","e","piv","2"
"spurt","冲","s","piv","3"
"sprint","冲","sn","piv","2"
"kombin","合","","basic","19"
"konform","合","kn","basic","21"
"kluc^","合","kl","pejvo","14"
"sintez","合","s","pejvo","15"
"kongru","合","kg","pejvo","6"
"konjunkci","合","kj","pejvo","4"
"konk","贝","","basic","16"
"folad","贝","f","pejvo","1"
"pina","贝","p","piv","1"
"dorid","贝","d","piv","1"
"limne","贝","l","piv","1"
"tered","贝","t","piv","1"
"eledon","贝","e","piv","1"
"gujdak","贝","g","piv","1"
"mureks","贝","m","piv","1"
"panope","贝","pp","piv","1"
"anodont","贝","a","piv","1"
"pinktad","贝","pk","piv","1"
"tridakn","贝","tk","piv","1"
"arkiteu^t","贝","ar","piv","1"
"testacel","贝","ts","piv","1"
"asist","辅","","basic","7"
"konsonant","辅","k","basic","4"
"konsult","询","","basic","14"
"kontinent","陆","","basic","11"
"kontribu","贡","","basic","5"
"tribut","贡","t","pejvo","3"
"kooperativ","协","","basic","6"
"kooper","协","ko","pejvo","8"
"krab","蟹","","basic","3"
"pagur","蟹","p","pejvo","1"
"limul","蟹","l","pejvo","1"
"kramp","夹","","basic","11"
"sandviĉ","夹","s","basic","7"
"klem","夹","kl","pejvo","3"
"klip","夹","kp","pejvo","2"
"ŝveb","翔","","basic","10"
"tabu","禁","","basic","6"
"embarg","禁","e","pejvo","2"
"prohibici","禁","p","pejvo","3"
"tajd","潮","","basic","13"
"taktik","术","","basic","3"
"tambur","鼓","","basic","12"
"aplaŭd","鼓","a","basic","5"
"timbal","鼓","tl","pejvo","2"
"templ","庙","","basic","9"
"testament","嘱","","basic","7"
"tropik","热带","","basic","22"
"tulip","郁","","basic","2"
"splen","郁","s","pejvo","2"
"melankoli","郁","m","pejvo","3"
"kosm","宇","","basic","21"
"univers","宇","u","basic","3"
"urin","尿","","basic","18"
"pis","尿","p","pejvo","7"
"uro","尿","uo","piv","3"
"valut","币","","basic","9"
"varb","募","","basic","7"
"kvest","募","k","piv","3"
"veget","茂","","basic","18"
"vertikal","竖","","basic","8"
"veteran","老","","basic","2"
"senil","老","s","pejvo","4"
"vokal","元","","basic","5"
"vokoid","元","vd","piv","2"
"absurd","谬","","basic","7"
"ador","拜","","basic","11"
"kult","拜","k","basic","10"
"riverenc","拜","r","basic","2"
"pilgrim","拜","p","pejvo","9"
"adverb","副","","basic","1"
"akcesor","副","ak","pejvo","5"
"aflikt","悲","","basic","4"
"tragedi","悲","t","basic","4"
"pesim","悲","p","pejvo","3"
"trist","悲","ts","pejvo","3"
"ajl","蒜","","basic","11"
"akt","幕","","basic","10"
"kulis","幕","k","pejvo","3"
"alud","暗","","basic","4"
"obskur","暗","o","pejvo","8"
"tenebr","暗","t","piv","2"
"anekdot","闻","","basic","2"
"arbitr","擅","","basic","5"
"asert","断","","basic","3"
"intermit","断","i","pejvo","9"
"bagatel","琐","","basic","4"
"balbut","结巴","","basic","5"
"bambu","竹","","basic","9"
"banan","蕉","","basic","4"
"tint","鸣","","basic","12"
"blek","鸣","b","basic","8"
"hup","鸣","h","pejvo","3"
"c^irp","鸣","ĉ","pejvo","2"
"kvivit","鸣","k","piv","2"
"buĝet","预算","","basic","10"
"ĝerm","芽","","basic","11"
"burĝon","芽","b","basic","8"
"s^os","芽","ŝ","pejvo","6"
"spros","芽","s","pejvo","2"
"ĉel","胞","","basic","47"
"celul","胞","c","pejvo","2"
"cito","胞","ct","piv","6"
"citoz","胞","cz","piv","5"
"cep","葱","","basic","4"
"cerv","鹿","","basic","18"
"dama","鹿","d","pejvo","3"
"kapreol","鹿","k","pejvo","3"
"tragol","鹿","t","piv","1"
"cign","天鹅","","basic","4"
"cirkuler","函","","basic","2"
"deĵor","当","","basic","13"
"lombard","当","l","pejvo","9"
"deput","派","","basic","8"
"sekt","派","s","pejvo","6"
"deriv","派","dr","pejvo","13"
"skol","派","sl","pejvo","4"
"konfesi","派","k","pejvo","2"
"digest","消","","basic","18"
"dimensi","维","","basic","6"
"eĥ","回","","basic","13"
"ekran","屏","","basic","16"
"ekspluat","采","","basic","13"
"ekzakt","精","","basic","7"
"fajn","精","f","pejvo","9"
"rafin","精","r","pejvo","13"
"nimf","精","n","pejvo","3"
"niks","精","nk","pejvo","2"
"spermat","精","s","piv","2"
"spermati","精","si","piv","2"
"emerit","退","","basic","7"
"regres","退","r","pejvo","4"
"degener","退","d","pejvo","7"
"retret","退","rt","pejvo","2"
"fab","豆","","basic","9"
"fazeol","豆","fz","basic","3"
"legumen","豆","l","pejvo","1"
"krizantem","菊","","basic","5"
"aster","菊","a","pejvo","1"
"lekant","菊","l","pejvo","1"
"kompozit","菊","km","pejvo","2"
"kverel","吵","","basic","3"
"lanc","矛","","basic","8"
"halebard","矛","h","pejvo","2"
"lanĉ","发","","basic","9"
"emisi","发","e","pejvo","4"
"tali","腰","","basic","9"
"lumb","腰","l","basic","5"
"magnet","磁","","basic","66"
"magnetofon","磁","mf","basic","0"
"mani","狂","","basic","28"
"delir","狂","d","basic","6"
"furioz","狂","f","basic","9"
"rabi","狂","r","pejvo","6"
"fanatik","狂","fn","pejvo","5"
"histeri","狂","h","pejvo","3"
"manuskript","稿","","basic","2"
"masaĝ","摩","","basic","3"
"matĉ","赛","","basic","2"
"turnir","赛","t","pejvo","5"
"medi","境","","basic","51"
"eko","境","e","pejvo","13"
"mejl","里","","basic","3"
"mev","鸥","","basic","3"
"lar","鸥","l","pejvo","3"
"miaŭ","咪","","basic","3"
"monopol","垄","","basic","11"
"motiv","由","","basic","11"
"mustard","芥","","basic","4"
"sinap","芥","s","pejvo","3"
"negativ","否","","basic","21"
"veto","否","v","pejvo","2"
"neg","否","ne","piv","3"
"norm","范","","basic","32"
"mikro","微","","pref","50"
"nuanc","微","n","basic","3"
"liliput","微","l","pejvo","3"
"infinitezim","微","i","pejvo","3"
"kern","核","","basic","29"
"nukle","核","n","basic","44"
"panic","粟","","basic","2"
"mili","粟","m","pejvo","6"
"panik","慌","","basic","5"
"paradoks","悖","","basic","3"
"paralel","并","","basic","18"
"aneks","并","a","pejvo","5"
"parentez","括","","basic","3"
"at","被","","suf","232"
"pasiv","被","p","basic","6"
"pelv","盆","","basic","7"
"basen","盆","b","pejvo","5"
"pension","宿","","basic","3"
"piknik","野餐","","basic","2"
"pilol","丸","","basic","3"
"testik","丸","t","pejvo","6"
"podi","台","","basic","7"
"teras","台","t","basic","3"
"peron","台","pr","basic","1"
"bufed","台","b","pejvo","5"
"konzol","台","k","pejvo","2"
"sufiks","缀","","basic","5"
"prefiks","缀","p","basic","3"
"tradici","统","","basic","6"
"prezident","统","p","basic","6"
"provizor","暂","","basic","7"
"purpur","紫","","basic","6"
"stab","参","","basic","7"
"referenc","参","r","basic","6"
"refut","驳","","basic","4"
"barg^","驳","b","pejvo","2"
"replik","驳","rp","pejvo","3"
"respektiv","各","","basic","2"
"rub","废","","basic","22"
"ruin","废","rn","basic","13"
"abol","废","a","pejvo","3"
"abolici","废","ac","pejvo","3"
"abrog","废","ar","piv","2"
"kolumn","栏","","basic","2"
"rubrik","栏","r","basic","1"
"barier","栏","b","pejvo","4"
"ŝak","棋","","basic","19"
"ŝampu","沐","","basic","2"
"ŝark","鲨","","basic","5"
"diet","节","","basic","10"
"silab","节","s","basic","23"
"artik","节","a","basic","19"
"strof","节","st","basic","3"
"artr","节","ar","pejvo","9"
"gangli","节","g","pejvo","3"
"dietik","节","dk","piv","2"
"skandal","丑","","basic","5"
"klau^n","丑","k","pejvo","3"
"pajac","丑","p","pejvo","2"
"arleken","丑","a","pejvo","3"
"pulc^inel","丑","pl","pejvo","2"
"histrion","丑","h","pejvo","2"
"ŝok","震","","basic","9"
"sism","震","s","pejvo","3"
"seism","震","se","piv","6"
"stabil","稳","","basic","15"
"aplomb","稳","a","pejvo","2"
"statistik","计","","basic","9"
"termometr","计","t","basic","0"
"ŝtorm","暴","","basic","11"
"tiran","暴","t","pejvo","8"
"violent","暴","v","pejvo","5"
"brutal","暴","b","piv","4"
"superstiĉ","迷","","basic","2"
"zelot","迷","z","pejvo","2"
"mat","席","","basic","11"
"matematik","数学","","basic","5"
"melon","瓜","","basic","5"
"kukum","瓜","k","basic","3"
"kukurb","瓜","kr","basic","9"
"miel","蜜","","basic","9"
"nektar","蜜","n","pejvo","3"
"minimum","最小","","basic","8"
"monument","碑","","basic","4"
"musk","苔","","basic","5"
"bri","苔","b","piv","1"
"hipn","苔","h","piv","1"
"andre","苔","a","piv","2"
"sfagn","苔","s","piv","1"
"ignor","忽","","basic","6"
"neglekt","忽","n","basic","3"
"obstakl","碍","","basic","3"
"ocean","洋","","basic","14"
"ortografi","拼","","basic","0"
"parget","拼","p","pejvo","3"
"palp","摸","","basic","11"
"palpebr","目皮","","basic","7"
"palt","大衣","","basic","1"
"pane","瘫","","basic","5"
"paraliz","瘫","pr","pejvo","10"
"plegi","瘫","pl","piv","3"
"pantofl","拖鞋","","basic","3"
"pap","教皇","","basic","9"
"papag","鹦","","basic","8"
"papili","蝶","","basic","17"
"papilion","蝶","pn","pejvo","1"
"pierid","蝶","pr","piv","1"
"pensi","养老","","basic","8"
"pere","亡","","basic","10"
"perl","珠","","basic","20"
"persik","桃","","basic","5"
"pian","琴","","basic","12"
"lir","琴","l","pejvo","5"
"harp","琴","h","pejvo","5"
"orgen","琴","o","pejvo","4"
"harmonik","琴","hm","pejvo","7"
"citr","琴","c","pejvo","2"
"violon","琴","v","pejvo","5"
"pionir","拓","","basic","7"
"pipr","椒","","basic","12"
"piper","椒","pe","piv","1"
"plast","塑","","basic","14"
"plastik","塑","pk","basic","4"
"modl","塑","m","pejvo","8"
"plasti","塑","pl","piv","3"
"popular","众","","basic","11"
"portret","肖","","basic","4"
"princ","侯","","basic","17"
"markiz","侯","m","pejvo","4"
"princip","则","","basic","8"
"profesor","授","","basic","9"
"inic","授","i","pejvo","5"
"projekt","案","","basic","10"
"pupitr","案","pp","pejvo","2"
"proverb","谚","","basic","5"
"rafan","萝卜","","basic","3"
"rap","萝卜","rp","pejvo","6"
"ran","蛙","","basic","8"
"hil","蛙","h","pejvo","1"
"batrak","蛙","b","pejvo","2"
"salamandr","蛙","s","pejvo","1"
"alit","蛙","a","piv","1"
"bomben","蛙","bm","piv","1"
"aksolotl","蛙","ak","piv","1"
"ambistom","蛙","am","piv","1"
"reĝim","制","","basic","14"
"relativ","相","","basic","20"
"faz","相","f","pejvo","17"
"vezir","相","v","pejvo","2"
"fizionomi","相","fn","pejvo","2"
"ren","肾","","basic","10"
"nefr","肾","n","piv","11"
"revizi","审","","basic","6"
"asiz","审","a","pejvo","3"
"reviz","审","re","pejvo","3"
"cenzur","审","c","pejvo","7"
"revizor","审","rr","pejvo","4"
"rigid","硬","","basic","14"
"hard","硬","h","pejvo","12"
"dur","硬","d","pejvo","3"
"skler","硬","s","pejvo","6"
"ciroz","硬","c","pejvo","2"
"rim","韵","","basic","15"
"asonanc","韵","a","pejvo","2"
"sag","矢","","basic","17"
"salik","柳","","basic","6"
"vimen","柳","v","pejvo","4"
"ŝaŭm","沫","","basic","22"
"sekur","安","","basic","31"
"sindikat","盟","","basic","12"
"alianc","盟","a","pejvo","7"
"kartel","盟","k","pejvo","3"
"koalici","盟","kl","pejvo","9"
"ŝink","火腿","","basic","7"
"suĉ","吸","","basic","36"
"sorb","吸","sr","basic","30"
"s^mac","吸","ŝ","pejvo","3"
"inhal","吸","i","pejvo","5"
"absorb","吸","a","pejvo","6"
"specimen","样","","basic","5"
"sampl","样","sm","piv","3"
"muestr","样","m","piv","2"
"spik","穗","","basic","7"
"kvast","穗","k","pejvo","2"
"ament","穗","a","piv","2"
"spur","迹","","basic","12"
"stan","锡","","basic","11"
"sulk","沟","","basic","18"
"kloak","沟","k","pejvo","10"
"tranc^e","沟","t","pejvo","2"
"tendenc","趋","","basic","3"
"teritori","领","","basic","13"
"testud","龟","","basic","8"
"keloni","龟","k","pejvo","1"
"emid","龟","e","piv","1"
"karet","龟","kr","piv","1"
"tig","茎","","basic","17"
"kulm","茎","k","pejvo","2"
"tigr","虎","","basic","4"
"juk","痒","","basic","7"
"tikl","痒","t","basic","7"
"urtik","痒","u","pejvo","4"
"tomat","茄","","basic","3"
"trejn","训","","basic","11"
"instrukci","训","i","pejvo","6"
"tuber","隆","","basic","13"
"tumult","闹","","basic","9"
"tun","吨","","basic","6"
"tonel","吨","tl","pejvo","5"
"tunel","隧","","basic","10"
"uniform","制服","","basic","6"
"livre","制服","l","pejvo","2"
"vag","荡","","basic","26"
"diboc^","荡","d","pejvo","13"
"fluktu","荡","f","pejvo","3"
"libertin","荡","l","pejvo","3"
"vagabond","荡","vb","pejvo","2"
"venĝ","仇","","basic","11"
"vet","赌","","basic","17"
"viktim","牺","","basic","4"
"vip","鞭","","basic","10"
"skurg^","鞭","s","pejvo","2"
"knut","鞭","k","piv","2"
"flagel","鞭","f","piv","5"
"virg","贞","","basic","10"
"volumen","积","","basic","3"
"kumulus","积","k","pejvo","4"
"vom","吐","","basic","16"
"kraĉ","吐","k","basic","11"
"sput","吐","s","pejvo","7"
"zink","锌","","basic","10"
"zum","嗡","","basic","9"
"abrikot","杏","","basic","5"
"anzu","杏","an","piv","3"
"abstin","戒","","basic","8"
"agit","搅","","basic","9"
"akn","痘","","basic","2"
"variol","痘","v","pejvo","7"
"akrid","蝗","","basic","3"
"lokust","蝗","l","pejvo","2"
"aks","轴","","basic","18"
"s^aft","轴","ŝ","pejvo","5"
"ale","林","","basic","1"
"bosk","林","b","pejvo","3"
"forst","林","f","pejvo","7"
"alg","藻","","basic","14"
"fuk","藻","f","pejvo","1"
"fic","藻","fc","piv","4"
"ulv","藻","u","piv","1"
"kara","藻","k","piv","1"
"bangi","藻","b","piv","1"
"kombu","藻","km","piv","1"
"nitel","藻","n","piv","1"
"sargas","藻","s","piv","2"
"cerami","藻","c","piv","1"
"gonidi","藻","g","piv","1"
"klorel","藻","kl","piv","1"
"porfur","藻","p","piv","1"
"undari","藻","un","piv","1"
"vakame","藻","v","piv","1"
"volvok","藻","vl","piv","1"
"kau^lerp","藻","kŭ","piv","1"
"koralin","藻","kn","piv","1"
"klamidomonad","藻","kd","piv","1"
"alumini","铝","","basic","5"
"ampol","泡","","basic","4"
"bobel","泡","b","pejvo","5"
"infuz","泡","i","pejvo","5"
"efervesk","泡","e","pejvo","3"
"blaz","泡","bl","piv","3"
"anser","鹅","","basic","13"
"apertur","孔","","basic","5"
