判定	語根	鏡像	意味	学習者版に誤り	理由
ACCEPT	urgener	尿ᵁᴿ生ᴳᴿ	泌尿生殖器の(urogenital)。学術版57388「Rilata k al la genera k al la urina aparatoj」= 生殖器系と泌尿器系の両方に関わる。		学習者版57388 ur/gener/a⟦尿ᵁᴿ/生ᴳᴿ/a⟧。これも同綴別語の分離が登録済みのケース。_homonym_disp.tsv:72 が sep で ur→尿ᵁᴿ を宣言し、対象語に ur/gener/a, ur/o/gener/a を明記、注記『uro-(尿)→尿。オーロックスur/o(原牛)は維持。uro/log/uro/grafiは既に尿ᵁᴼ』。実際 _kanji_map_master.tsv 4484行の ur は 原牛(オーロックス Bos primigenius)であり、識別子ᵁᴿが無ければ『原牛生』=野牛の生殖という誤読になるところを構造的に回避している。_identifier_alias.tsv も『尿 uri ur ギリシャ語 ur-/uro-/-uria の同一尿形態系。既定 homonym ur=尿ᵁᴿ を共有』と裏づけ。gener=生ᴳᴿ は sidecar 908行(pejvo F=18)で、裸 生=nask、生ᴳ=gen、生ᴮᴼ=bio 等と識別子で分離済み。『尿+生殖』は語釈 genera k urina aparatoj と一対一対応で R4 透明。表面同形0、監査違反なし。
ACCEPT	urogener	尿ᵁᴼ生ᴳᴿ	泌尿生殖器の。生殖器系と泌尿器系の両方に関するもの。学術版57389 `urogener/a:【解】【PIV】Rilata k al la genera k al la urina aparatoj.`	YES	学習者版57389 `uro/gener/a⟦尿ᵁᴼ/生ᴳᴿ/a⟧`。★同綴別語の疑いを潰した: 単独語根 ur/o は学術版42290 `ur/o⟦原牛/o⟧:【動】オーロックス(原牛)` で全く別だが、結合形 uro- は _kanji_map_master.tsv `content uro 尿` + sidecar `"uro" "尿" "uo" "ᵁᴼ" "尿ᵁᴼ" piv F=3` として別エントリで登録済み。_homonym.tsv にも `ur→尿ᵁᴿ` の sep(disc: `ur/gener/a,ur/o/gener/a`、注記「オーロックスur/o(原牛)は維持。uro/log/uro/grafiは既に尿ᵁᴼ」)があり、二重に裏が取れる。姉妹 uro/grafi/o⟦尿ᵁᴼ/志ᴳ⟧ と一貫。gener=生ᴳᴿ は学術版12768 `gener/a⟦生ᴳᴿ/a⟧:生殖の` の基本形。「尿+生殖」で語義と完全一致。
HOLD	arkipter	首ᴬ翅	【動】アルキプテラ Archiptera(PIV k2787、廃止された旧・昆虫目。カゲロウ・トンボ・シラミ・シロアリを含む原始有翅昆虫群。ark.=archaïsme表示)		REJECTするほど明白な誤りではないが、単独ACCEPTもできない設計上の争点あり。良い側: pter=翅 は _kanji_map_master.tsv:6004(sci)で確立した生きた形態素で、di/pter=双翅(_homonym.tsv:53に掲載)・arkeo/pterig/o⟦古ᴬᴼ/翅ᴾᴳ/o⟧(始祖鳥)と同型。arki=首ᴬ も map:4643+sidecar:255 の固定描画で、arki/duk⟦首ᴬ/公爵⟧・arki/ang^el⟦首ᴬ/天使⟧と文脈非依存に一致しており固定形態素描画は破っていない。PIVも arki/(k2779)=ĉef/ と定義。懸念側2点: (1) Archiptera の arkhi- は『首位(ĉef)』ではなくギリシャ語『原初/原始』の意で、本体系はその概念を既に別語根 arkeo=古ᴬᴼ(map:3477)として持ち、まさに同型語 arkeo/pterig=古ᴬᴼ翅ᴾᴳ で使っている。首ᴬ翅 と 古ᴬᴼ翅ᴾᴳ が『原始有翅類』という同一概念に二系統の描画を与える。(2) 語源のみのarki-を持つ他語根(arkitekt=建筑・arkipelag=群岛・arkiv=档ᴬ・arkiteu^t=贝ᴬᴿ)は全て未分割の丸ごと語根として扱われており、arkipterだけ分割する扱いの線引きが要裁定。ユーザー判断事項: (a)首ᴬ翅で確定するか、(b)arkipterをラテン維持し学習者版13404側の分割も撤回するか。
HOLD	jodit	碘盐ᴶᴵ	【化】亜ヨウ素酸(塩)を表す -it 系語根。学術版での唯一の出現は59075 `hipo/jodit/a⟦亚/jodit/a⟧:【PIV】Epiteto de acido HIO.`(次亜ヨウ素酸 HIO の形容詞)。対応する学習者版59075 は `hipo/jod/it/a⟦亚/碘/盐ᴵ/a⟧`。		意味・成分は正しいが、提案の識別子が学術版側の family 慣例と食い違う。①-at/-it 塩の whole-root は学術版で確立した書式がある: -at 側が無印、-it 側が「語根頭字+i」の2字識別子。実測(_identifier_sidecar.tsv / 学術版本文): jodat=碘盐(無印)・sulfat=硫盐 / sulfit=硫盐ˢᴵ・klorat=氯盐 / klorit=氯盐ᴷᴵ・nitrat=氮盐 / nitrit=氮盐ᴺᴵ・fosfat=磷盐 / fosfit=磷盐ᶠᴵ・plumbat/plumbit=铅盐/铅盐ᴾᴵ・stanat/stanit=锡盐/锡盐ˢᴵ。この規則に従えば jodit は 碘盐ᴶᴵ。②提案の 碘盐ᴵ は学習者版の注入トークン 盐ᴵ(_inline_tokens.tsv 20行 `盐ᴵ it $chemSaltLine 化学塩 -ite(亜リン酸 fosf/it/a=磷/盐ᴵ)`)をそのまま連結したもの。学習者版が 磷/盐ᴵ・学術版が 磷盐ᶠᴵ と既に二層で書式が分かれている以上、学術版側だけ jodit に 盐ᴵ 方式を持ち込むと兄弟5語根と不揃いになる。③逆引き一意性はどちらでも保たれる(碘盐=jodat / 碘盐ᴵ or 碘盐ᴶᴵ=jodit)ため機械監査では落ちない=人手裁定が必要。④裁定事項: 案Aの機械的連結(碘盐ᴵ)を優先するか、-it 塩 family の既存書式(碘盐ᴶᴵ)を優先するか。実務上は後者を推奨(family 内5件の先例があり、識別子生成規則とも整合)。⑤学習者版の描画 碘/盐ᴵ 自体は自層の規則どおりで誤りではない。
HOLD	kaloz	茧糖ᴼ	二義同綴。①【化】カロース callose(PIV k? kal/o派生形: グルコース重合体(C6H10O5)n、篩管を冬季に塞ぐ多糖) ②【解】脳梁 corpus callosum(PIV k19966 の独立語根 kaloz/o: 両大脳半球間の白質板)		化学義の描画自体は正しい。kal=茧(map:5816, 胼胝/callus)+oz=糖ᴼ(_homonym.tsv:197の糖disc listに kal/oz/o が明示掲載)で 茧糖ᴼ=カロース は語源(篩管のkalo由来)通りで透明。問題は充填先の一意性: 学術版49821(化学)と49822(解剖)は【どちらも同一キー kaloz/o:】であり、語根レベルで kaloz→茧糖ᴼ を入れると49822の脳梁まで『胼胝の糖』と描画されてしまう。PIVでも 48342(kal/o派生形kalozo=化学)と 48866(kaloz/o=解剖、独立ID k19966)が別語根として分離されている。既存の語単位disc機構では両行のキーが同一文字列のため弁別不能で、$chemSaltLine と同型の【語釈レベル判定】(Glucido/polimero を含む行のみ発火 等)を新設するか、homonym二層機構で行を分けるかの実装裁定が要る。なお学習者版49822は 茧/oz と oz をラテン残しにしており([F]不整合)、化学義49821のみ 茧/糖ᴼ。ユーザー裁定事項: (a)化学義だけ語釈gate付きで鏡像充填し解剖義はラテン維持、(b)両義とも充填せず据置。
HOLD	katet	股小	直角三角形の直角をはさむ辺(cathetus/勾股の股)。学術版50167 `katet/o:【数】【PIV】C^eorta latero de triangulo. Vd hipotenuzo.`		学習者版50167 `kat/et/o⟦股/小/o⟧`。股 は語根の固定描画ではなく語釈スコープの inline rule で、_inject_final.ps1 L282 `elseif(($s -eq 'kat') -and $idx -eq 0 -and ($rest -match 'latero.*triangul|C^eorta latero')){ $tok='股' }`(2026-07-18)。kat の固定描画は 猫(map 459行/sidecar 1737行 basic 27回)であり、鏡像の定義どおり固定描画を連結すると 猫小=子猫(実在: 学習者版17559 `kat/et/o⟦猫/小/o⟧ 小猫`)になってしまう。すなわち本候補は固定描画の連結ではなく「注入後の表示面」を写したもので、鏡像の生成手順から外れている。加えて(1)裸字 股 の所有者は koks(sidecar 4734行 basic 8回、koks/o=腰・koks/a・koks/it/o 等が稼働)、小 の所有者は et(sidecar 182行 suf 655回)なので、股小 は逆引きで koks/et「小さい腰」に解け、kateto に解けない。(2)そもそも kateto は希 káthetos(垂線)由来で -et- 縮小辞は存在せず、小 は偽分解由来の余剰成分で「小さい股」という誤読を持ち込む。(3)副作用: 裸根 katet を map に入れると学習者版50200 `katet/o/metr/o⟦katet/o/计ᴹ/o⟧`(現在 katet ラテン)が 股小/o/计ᴹ に変わる。股 自体は中国数学の勾股(直角边)で語義に完全一致する優れた字なので、`katet=股+新識別子` のような非鏡像の割当なら価値があるが、それは鏡像充填の枠を超えるためユーザー裁定が必要。学習者版の 股/小 表示自体は語釈が隣接する版では有用で、2026-07-26 第13レンズ裁定(faithful mirror は現状維持)に照らしても変更不要。
HOLD	okzalil	酸模基ᴵ	オキサリル基。学術版52689「La grupo-CO-CO-: okzalila klorido, (COCl)2」= -CO-CO- 基(シュウ酸に由来する二価アシル基)。okzal はスイバ/酸模(Rumex)で、okzalata acido=シュウ酸の語根。	YES	意味は正しいが識別子が裸で、案A(識別子込み)の目的を破るため保留。【正しい点】酸模=okzal は sidecar 8356行(pejvo F=2)の正所有者で、okzal/o=【植】スイバ(酸葉)、okzal/at/a acid/o⟦酸模/盐ᴬ/a 酸/o⟧=シュウ酸と系列が通っている。化学 -il(-yl 原子団)→基 も _inject_final.ps1:268 が2026-07-23に okzal を明示的にアルキル語幹リストへ追加した意図的措置(注記に「オキサリル=La grupo/radiko【化】」)。【問題】裸の 基 は baz(基礎)の裸字所有(sidecar: baz=基 basic F=47)。そのため 酸模基 は okzal+baz(『スイバの基礎』)に復号されてしまう——これは第27回続62で案Aを採用した理由そのもの(『裸鏡像だと成分が別語根の無印に読める』)。しかも _homonym_disp.tsv:33 は化学-ilの正規描画を 基ᴵ と宣言済みで、aceton/il/o⟦aceton/基ᴵ⟧・benzo/il/o⟦安息香/基ᴵ⟧・karbon/il/o⟦碳/基ᴵ⟧等はすでに 基ᴵ で出ている。プロジェクト自身の _audit_output_identifier_integrity.ps1 も『学習者版:52689 okzal/il/o [il] => naked 基』を裸groupkey違反(208件中)として検出する。【是正案】(a) _inject_final.ps1:268 の $tok='基' を '基ᴵ'(=_homonym_disp.tsv:33 の overrideDisp)に統一し、学習者版を 酸模/基ᴵ にしたうえで鏡像 酸模基ᴵ を入れる。ただしこの修正は et/il・met/il・alk/il・fen/il・naft/il・prop/il・but/il・pirid/il・sulfon/il・sulfur/il・nitrozo/il・salik/il 等13行以上に波及するためユーザー裁定が必要。(b) 暫定的に鏡像だけ 酸模基ᴵ を入れると学習者版と食い違うので不可。→ 先に(a)の裁定を得てから充填すべき。
HOLD	rinkocefal	嘴ᴿ头ᶜ	喙頭目 Rhynchocephalia。学術版54439「Ordo (Rhynchocephalia) de reptilioj, kiujn karakterizas ostaj pontoj en la kranio; nur unu nun vivanta sp., sfenodonto」= 頭蓋に骨橋を持つ爬虫類の目、現生種はムカシトカゲのみ。語源 rhyncho-(嘴・吻)+cephal(頭)。	YES	意味は完全に正しいが、rink の描画が裸で他語根の所有字を借りているため保留。【正しい点】头ᶜ=cefal は sidecar 816行(pejvo F=16)で cefal/o・hidr/o/cefal・akant/o/cefal・holo/cefal 等と同一の登録描画。rink=嘴(希 rhynchos=嘴)も _inject_final.ps1:256 が明示的に『rink/o/cefal(Rhynchocephalia喙頭目=嘴/头)』として2026-07-18に発火条件を cefal へ拡張した意図的措置で、意味は正しい。【問題】裸 嘴 は bek(くちばし)の裸字所有(sidecar 3824行 bek=嘴 basic F=21)。よって 嘴头ᶜ は bek+cefal に復号される。さらに _context_identifier_sidecar.tsv:5(rink.beak)は rink の正規描画を 嘴ᴿ と宣言しているのに、注入側の inline ルールが裸 嘴 を出すため両者が矛盾している。実際 _audit_output_identifier_integrity.ps1 は『28794 ornit/o/rink/o [rink] 嘴 != 嘴ᴿ (rink.beak)』(context表示不一致239件)と『54439 rink/o/cefal/oj [rink] => naked 嘴』(裸groupkey208件)の両方を検出する。【是正案の2択(要裁定)】(a) _inject_final.ps1:256 の $tok='嘴' を '嘴ᴿ' にして sidecar 宣言と一致させ、鏡像は 嘴ᴿ头ᶜ にする(影響は ornit/o/rink/o と rink/o/cefal/oj の2行のみで軽微)。(b) rink は bek と同義(どちらも嘴)なので _identifier_alias.tsv に『嘴 rink bek』を追加して同一形態系aliasと認定し、裸 嘴 を正当化して鏡像 嘴头ᶜ を採る(uri→ur、mes/meso→mez、kastan→kas^tan と同じ扱い)。(b)なら意味的にも『嘴+头=喙頭』で読みが正しく、影響は最小。どちらでも可だが台帳の宣言と出力の食い違いは先に解消すべき。
HOLD	sulfuril	硫ˢᴿ基ᴵ	【化】1 無機物質名における基 ≻SO2(スルフリル基。sulfurila klorido, SO2Cl2)。2 硫黄処理をする器具。学術版55627 の PIV 語釈に2義併記。	YES	意味は正しいが提案文字列の識別子が誤り。①裸の 基 は baz が所有(_identifier_sidecar.tsv: baz=基 無印 basic F=47、fundament=基ᶠ、bazament=基ᴮᴹ)。したがって 硫ˢᴿ基 は「硫黄+baz(塩基)」と読めてしまう。化学文脈では十分にありうる誤読で、これは §14.2.1続62 が案Aを採用した理由そのもの(『裸鏡像だと成分が別語根の無印に読める(火症=fajr+fobi・切能=tranc^o+pov)』)に真正面から抵触する。②化学ラジカル -il の台帳描画は 基ᴵ(_homonym_disp.tsv 33行 `il sep aceton/il/o,benzo/il/o,form/i/il/o,fosfor/il/o,jod/il/o,karbon/il/o,kromi/il/o… 基 基ᴵ`)。実際 学習者版でも aceton/il/o⟦aceton/基ᴵ/o⟧・benzo/il/o⟦安息香/基ᴵ/o⟧・fosfor/il/o⟦磷ᶠᴿ/基ᴵ/o⟧・jod/il/o⟦碘/基ᴵ/o⟧ は 基ᴵ。③★学習者版の描画自体の不整合: sulfur/il/o だけ 硫ˢᴿ/基(裸)になっているのは、台帳経路とは別の第二経路 `_inject_final.ps1` 268行 `elseif(($s -eq 'il') -and … (@('fen','alk','naft','nitrozo','sulfon','sulfur','pirid','okzal','en','salik') -contains $segs[$idx-1])){ $tok='基' }` が識別子なしの '基' を直に埋めているため。同じ -il が台帳経路では 基ᴵ、注入経路では 基 になる二重基準で、_inline_tokens.tsv にも未登録。是正案: 268行の $tok を '基ᴵ' に変更し、鏡像は 硫ˢᴿ基ᴵ とする。④ユーザー裁定が要る点: 学術版の旧鏡像 family は裸の 基(jodil=碘基・karbonil=碳基・fosforil=磷基・benzoil=安息香基・formiil=形基・kromiil=金基)なので、案A(基ᴵ)に寄せるか旧family(裸 基)に合わせるかは方針判断。⑤付随: sulfurilo は2義あり、第2義「硫黄処理器具」は器具-il=具 系(旧 _sweep_pool_20260719.tsv では 硫ˢᴿ/具/o だった)。鏡像は PIV 第1義(ラジカル)のみを担う点も明示が必要。
HOLD	tornad	旋行	竜巻。学術版56315 `tornad/o:【気】【PIV】Fortega rotacianta atmosfera perturbo lau^diametre relative malgranda. Vd ciklono, trombo.`(直径の割に小さい、激しい回転性の大気擾乱)		学習者版56315 `torn/ad/o⟦旋/行/o⟧` の 旋 は固定描画ではなく語釈スコープの inline rule。_inject_final.ps1 L283 `elseif(($s -eq 'torn') -and ($rest -match 'rotacianta')){ $tok='旋' }`(2026-07-18)。torn の固定描画は 车ᵀᴺ(map 2956行/sidecar 2126行 pejvo 10回)で、同綴の 40841行 `torn/ad/o⟦车ᵀᴺ/行/o⟧:旋盤加工` が本来の描画。したがって固定描画の連結という鏡像の定義に照らすと本候補は生成手順から外れている(定義どおりなら 车ᵀᴺ行=旋盤加工 になり竜巻として誤り)。加えて裸字 旋 の所有者は gir(sidecar 6110行 `gir 旋 pejvo 5回` 識別子なし。学習者版48352 `gir/i⟦旋/i⟧:【PIV】Rondire turnig^i`=回転する)で、ciklon は 旋ᶜ、spiral は 旋ˢ、rotaci は 旋ᴿ と全て識別子付き。よって 旋行 は逆引きで gir/ad「回転すること」に解け、tornad に一意に解けない(gir/ad/o は現時点で未出現だが構成可能な自然語で潜在衝突)。意味面でも、既に tromb=龙卷(map 3356行、中国語で竜巻そのもの)・ciklon=旋ᶜ が近傍にあり、tornado に 旋行 という汎用的な「回転+行為」を与えると 龙卷/旋ᶜ/旋行 の三分裂になる。ただし語釈の rotacianta とは矛盾せず明白な誤りでもないため、(a)ラテン維持、(b)旋+新識別子、(c)龙卷系への統合、のいずれを採るかユーザー裁定が必要。学習者版の 旋/行 表示自体は語釈隣接の版として現状維持で問題ない。
REJECT	agami		agamia = 無性の・無性生殖する(学術版44547 `agami/a:【PIV】(evitinda) 1 = nesekse reproduktig^anta. 2 = neseksa, senseksa.`)。ただし同綴の agami/o は【動】ラッパチョウ Psophia crepitans(学術版44548)		意味論的には 无ᴬ(a-privative)/配ᴳ(gami) = 「無配偶=無性」で正しい(无ᴬ は _inject_final.ps1 L112 $privDisp の確立した描画、gami=配ᴳ は sidecar 4271行)。しかし裸根 `agami` は既に別語根として埋まっている: _kanji_map_master.tsv 6645行 `piv agami 鸟`、_identifier_sidecar.tsv 1066行 `agami 鸟 ag ᴬᴳ 鸟ᴬᴳ piv 1`、_p_work.csv 6633行。学術版44548 `agami/o⟦鸟ᴬᴳ/o⟧` が現に稼働中。よって根レベル鏡像 无ᴬ配ᴳ を入れると鳥の割当を破壊する。さらにこの件は既裁定: _inject_final.ps1 L145 `'agami/a'=@('agami')   # 無性の(agamia=…)→agamiラテン。ラッパチョウagami/o=鸟(Psophia)の偽の友…正本がagami whole分解ゆえ理想の无配は不可・誤読除去優先。2026-07-21 第27回`。すなわち学術版で agami/a がラテンなのは「鏡像未充填の穴」ではなく、偽友回避のため意図的にラテン退避させた結果。根レベル鏡像では解決不能で、可能なのは語スコープ($segLat と同層の語単位override 'agami/a'→无ᴬ配ᴳ)のみ。これは既裁定の再開になるためユーザー裁定が必要。候補リストの前提(「学術版でラテン=鏡像の穴」)自体がこの語では誤り。
REJECT	aldoz		アルドース。アルデヒド基を持つ単糖類。学術版60165 `aldoz/o:【化】【PIV】Aldehida monosakarido.`	YES	★同綴別語の取り違え(指摘された失敗様式そのもの)。学習者版60165 `ald/oz/o⟦中音/糖ᴼ/o⟧`。中音 は学術版1056 `ald/o⟦中音/o⟧:{Ｏ}【楽】アルト,=kontralto` すなわち**声域のアルト**であり、_kanji_map_master.tsv は `pejvo ald 中音`、sidecar も `"ald" "中音" pejvo F=8` の1エントリのみ。aldoz の ald は aldehid(アルデヒド)の結合形で、音楽のアルトとは無関係。よって 中音糖ᴼ は「アルト声部の糖」という無意味な描画で、鏡像に入れれば誤りを増幅する。_homonym.tsv/_homonym_disp.tsv/_context_sense.tsv のいずれにも ald の sep/文脈エントリは存在せず(grep 済み・0件)、oz→糖 の disc には `ald/oz/o` が入っているのに ald 側だけ是正が漏れている。 【是正案】(1) 恒久策: aldehid は本体系で一貫してラテン維持(学習者版1049 `aldehid/o` 無割当、171 `acet/aldehid/o⟦醋/aldehid/o⟧`、45061 `aniz/aldehid/o⟦果ᴬ/aldehid/o⟧` いずれも aldehid はラテンのまま)。よって化学文脈の ald も **ラテン維持**とし、_inject_final.ps1:139 の `jod/oz/o` と同型の segLat 規則(【化】ゲート+後続分節 oz/ol)で `ald/oz/o`・`ald/ol/o` の ald をラテン化するのが体系整合的。結果は `ald/糖ᴼ/o`。漢字化案(醛糖)は 醛 が二級(実測: 一级=0/二级=1)で R2 違反のため不可。(2) 同じバグの巻き添え: 学習者版44717 `ald/ol/o⟦中音/ol/o⟧`(アルドール)も同一原因で誤描画。是正は 2 語同時に行うこと。ald/a bekflut・ald/ist・ald/o/violon・ald/ul(音楽義)は 中音 のまま正しい。
REJECT	ensintez		【化】ジエン合成(Diels-Alder反応)。PIV k10191 -en/③【化】= 不飽和炭化水素のC=C二重結合1個を示す接尾辞(eteno/buteno/hekseno/menteno)の派生形として ensintezo が立項され「Kondensado kun konjuga ensistemo laŭ O. Diels k K. Alder, 1928」= 共役アルケン系(=共役ジエン)との縮合	YES	最も明確な同綴別語の取り違え。PIV2020_structured.txt の -en/ 見出しは5同音異義に分かれており、ensintezo は k10191(=化学の-en-, アルケン/エン)の Derived form として掲載されている。前置詞 en(k10181, =内)でも円 en/o(k10195)でも動物学の-en(k10190亜科)でもない。学習者版47217 の en/sintez/o⟦内/合ˢ/o⟧ は『内部の合成』を意味してしまい、実体『共役エン系による付加環化』とは無関係。R4違反(内+合からDiels-Alder反応は推測不能)。learner_wrong=true。是正案: 本体系は化学の-en-系を一貫してラテン維持している(学術版46174 buten/o:、46712 dien/o:、47454 eten/o:、53909 propen/o: はいずれも漢字なし。烯 は一级3500外でR2により使用不可、_kanji_map_master.tsv内の出現0件)。よって ensintez/o も分割せずラテン1語根に戻すのが既存方針と完全に整合する。鏡像充填は不可。
REJECT	farad		【理】ファラド(電気容量のSI単位、F)。Michael Faraday の人名由来のエポニム単位。学術版10505 `farad/o:【理】ファラド（電気容量の単位、Ｆ）` はラテンのまま、直後の10506 に `Farad/o:【人名】ファラデー（イギリスの物理学者、1791-1867）` が並ぶ。	YES	三重に不可。①§7: 人名由来SI単位はラテンが正。方針書§14 続40のユーザー裁定に直接前例あり=「kuri(Curie由来=単位キュリー・元素キュリウム) → ラテン統一。キュリー夫人の人名ゆえ§7扱い。居里は音訳でR4違反」。学術版の兄弟単位も全てラテン(amper/henr/herc/kelvin/kulomb/paskal/sivert/veber/volt。漢字化されているのは既存字 瓦ⱽ を持つ vat のみ)。②表示衝突: 做行 は学術版で既に far/ad が占有している(10507 `far/ad/o⟦做/行/o⟧:製造,行動`、27236 `nenio/far/ad/o⟦无o/做/行/o⟧`。学術版内に 做/行 が14件)。farad=做行 を入れると同一ファイル内で「ファラド」と「製造・行動」が完全同形になる。③§3.1「偽分解の発明禁止」: atomic な外来語・固有名を綴り一致で機械分解するのは禁止。学習者版側の是正案: 10505 の `far/ad/o⟦做/行/o⟧`(単位義) はアプリの小文字正規化衝突(Farad/o人名 vs farad/o単位 vs far/ad/o行為)を回避するための学習者版限定ハックで `##偽分解(衝突語)` 明示済み。Phase183 の記録でも「far/ad を出してよいのは裸の farado のみ」と裁定され、実際 mikro/farad/o⟦微/farad/o⟧・piko/farad/o は farad を一塊ラテン保持している。つまり単位義の描画 做行 は R4 的には誤りだが既知・文書化済みの学習者版限定の妥協であり、学術版へ写してはならない(写せば妥協が正本化する)。
REJECT	ferik		【化】第二鉄の(ferric = 鉄(III)の)。学術版10782行 `ferik/a:【化】第二鉄の`	YES	学習者版10782 `fer/ik/a⟦铁/学ᴵ/a⟧` の 学ᴵ は誤り。学ᴵ の実体は 14925行 `-ik-⟦学ᴵ⟧:［学術接尾辞］（〜論・〜学を示す）` すなわち -ology/-ics の学問接尾辞であり(balist/ik=弓炮/学ᴵ 弾道学、komput/ik=算ᴷᴹ/学ᴵ 計算機科学、metod/ik=法ᴹ/学ᴵ 方法論 等12用例すべて学問名)。ferika の -ik- は原子価(-ic vs -ous)を示す化学接尾辞で学問とは無関係。鏡像 铁学ᴵ は「鉄学(ferrology)」と読め、R4(意味の透明性)違反。決定的な内部証拠として、対の語 feroz/a(第一鉄の ferrous)は 10824行 `fer/oz/a⟦铁/oz/a⟧` で oz をラテン維持している。ik も同様にラテン維持が整合的で、学ᴵ を語根表に固定値として書き込むのは誤りの格上げになる。なお _inject_final.ps1 L97 は 2026-07-26 第13レンズのユーザー裁定で「fer/ik/a学ᴵ」の学習者版ラテン化を撤回済み(語釈が隣にある学習者版では現状維持)だが、これは学術版の裸根mapに 铁学ᴵ を authoritative 値として登録することまで承認したものではない。是正案: 学術版は ferik ラテン維持(feroz と対称)。学習者版も 铁/ik/a が理想だが第13レンズ裁定により現状維持でよい。
REJECT	grenadil		【植】クダモノトケイソウ/パッションフルーツ(PIV k15489: Passiflora edulis、熱帯南米原産の多年生つる植物とその食用液果)。軍事とは一切無関係	YES	典型的な同綴別語の取り違え。手雷=grenado(手榴弾, PIV k15487)、具=-il-。grenadilo は grenad+il ではなく grenadil 単独語根(PIV k15489)で、綴りが偶然重なるだけ。決定的証拠が3点: (1) 学術版13404 は grenadil/o: とラテン維持なのに、13405 に別項 grenad/il/o⟦手雷/具/o⟧:【軍】てき弾筒 が存在する。鏡像を入れると『パッションフルーツ』と『てき弾筒』が同一表示 手雷具 になる完全な表示衝突。実際 手雷/具 は学習者版に2回出現し、その2件がまさにこの13404(誤)と13405(正)。(2) 学術版・学習者版とも48550 は grenadil/ber/o⟦grenadil/浆果/o⟧ で grenadil をラテン1語根として扱っており、13404の grenad/il 分割と自家撞着。(3) R4致命: 手雷(手榴弾)+具(道具)から『トケイソウの実』は論理的に推測不能。learner_wrong=true。是正案: 学習者版13404を grenadil/o: (ラテン、48550と同粒度)に戻し過細分解を止める。漢字を当てるなら学術版53115 pasiflor/o⟦草ᴾᴬˢ/o⟧(トケイソウ属)と同系の既存字で、新字ゼロを守りつつ 草ᴾᴬˢ 系または果実字に寄せる方向をユーザーに諮る。いずれにせよ 手雷具 は不可。
REJECT	onj		おばちゃん(onklino=叔母/伯母 の愛称形)。学術版28465 onj/o:おばちゃん,>>onklino。		★§9(字+識別子→語根の一意復号)違反。女ᴺ は既に語根 nj の描画として確定済み(_identifier_sidecar.tsv 240行: nj 女 n ᴺ 女ᴺ pejvo)。onj にも女ᴺを与えると 女ᴺ→{nj, onj} の2語根に復号され、第9レンズが保証する分節一意復号が壊れる(候補11件中、sidecarに既出の描画は本件のみ=grep実測1件、他10件は0件)。さらに(a)鏡像として不忠実: 学習者版28465 は o/nj/o⟦o/女ᴺ/o⟧ で先頭のoはラテン残りであり、これを落とすと nj の描画と字面が完全一致してしまう。(b)R4違反: onjo の意味は「おばちゃん(叔母)」だが 女ᴺ が伝えるのは「女子の愛称接尾辞」だけで、叔母の意が全く推測できない(-nj-の定義は27614 -nj-⟦女ᴺ⟧「女子の愛称を示す」)。学術版はラテン維持(現状)が正。もし被覆を上げたいなら 女ᴺ の再利用ではなく『叔母の愛称』を表す別描画の新規裁定が要る=ユーザー案件。学習者版 o/nj/o⟦o/女ᴺ/o⟧ 自体は##偽分解と明示された固定形態素描画として一貫しており、是正不要。
REJECT	portovin		ポートワイン=ポルトガル北部産の甘口ワイン。学術版53731 portovin/o:Dolc^a vino el N Portugalio。語源はポルト市(Porto/Oporto)の地名で、porti(運ぶ)とは無関係。	YES	★固有名(地名)の取り違え=§7違反。学習者版53731 は port/o/vin/o⟦运/o/酒/o⟧ と描画しているが、运 は語根 port『運ぶ』の描画(map272 content port 运、学習者版31323 port/i⟦运/i⟧「持ち運ぶ」)であり、portovino の port は地名 Porto。同辞書は Porto を地名として一貫してラテン維持している(31337 Porto-Algr/o, 31338 Porto-Nov/o, 31339-31340 Porto/Princ/o, 31341 Porto-Rik/o, 31342 Portospen/o はいずれも漢字化していない)。よって語根レベルで 运酒=「運ぶ酒」を学術版に固定描画として登録することは、地名をラテン維持する§7に正面から反し、R4の意味透明性も満たさない(「運搬用の酒」と誤読される)。学術版は現状のラテン維持が正で、鏡像を入れてはいけない。★★重要な留保: 学習者版の 运/酒 については _inject_final.ps1 L85-99 に第13レンズ(2026-07-26)のユーザー裁定が明記されており、『port/o/vin/o运/酒(ポートワイン)』は far/ad/o做/行(ファラド)・silvi/kultur/o莺/耕 等と共に「ラテン化は全部撤回=現状維持で正」の群に列挙済み(理由: 語釈が隣にある faithful mirror をラテン化するのは被覆の後退)。したがって学習者版側の是正は再提案不要=触らないこと。本REJECTは『学術版に語根鏡像を新設すること』だけを否定するもの。
